AAJNHDNO_00002	K02338
AAJNHDNO_00116	K11898
AAJNHDNO_00117	K11897
AAJNHDNO_00118	K11896
AAJNHDNO_00119	K11895
AAJNHDNO_00120	K11907
AAJNHDNO_00121	K11904
AAJNHDNO_00122	0
AAJNHDNO_00123	0
AAJNHDNO_00124	0
AAJNHDNO_00125	0
AAJNHDNO_00126	0
AAJNHDNO_00127	0
AAJNHDNO_00128	K11904
AAJNHDNO_00129	0
AAJNHDNO_00130	0
AAJNHDNO_00131	K00647
AAJNHDNO_00132	0
AAJNHDNO_00133	0
AAJNHDNO_00134	0
AAJNHDNO_00135	K01673
AAJNHDNO_00136	0
AAJNHDNO_00137	0
AAJNHDNO_00138	K02275
AAJNHDNO_00139	K02274
AAJNHDNO_00140	K02258
AAJNHDNO_00141	K02276
AAJNHDNO_00142	0
AAJNHDNO_00143	K14998
AAJNHDNO_00144	0
AAJNHDNO_00145	K02259
AAJNHDNO_00146	K02257
AAJNHDNO_00147	K07152
AAJNHDNO_00148	K02348
AAJNHDNO_00149	0
AAJNHDNO_00150	0
AAJNHDNO_00151	K14584
AAJNHDNO_00152	K11103
AAJNHDNO_00153	K05799
AAJNHDNO_00154	0
AAJNHDNO_00155	0
AAJNHDNO_00156	0
AAJNHDNO_00157	0
AAJNHDNO_00158	0
AAJNHDNO_00160	0
AAJNHDNO_00161	K06193
AAJNHDNO_00162	K03293
AAJNHDNO_00163	K00140
AAJNHDNO_00164	K21700
AAJNHDNO_00165	K00822
AAJNHDNO_00166	K21699
AAJNHDNO_00167	K01487
AAJNHDNO_00169	K02056
AAJNHDNO_00170	K02057
AAJNHDNO_00171	K02057
AAJNHDNO_00172	K03386
AAJNHDNO_00173	K03387
AAJNHDNO_00174	K22468
AAJNHDNO_00175	K12960
AAJNHDNO_00176	K01239
AAJNHDNO_00177	0
AAJNHDNO_00178	0
AAJNHDNO_00179	K02058
AAJNHDNO_00180	0
AAJNHDNO_00181	K01488
AAJNHDNO_00182	K03088
AAJNHDNO_00183	K07165
AAJNHDNO_00184	K02014
AAJNHDNO_00185	K02623
AAJNHDNO_00186	K00449
AAJNHDNO_00187	K00448
AAJNHDNO_00188	K02624
AAJNHDNO_00189	K21136
AAJNHDNO_00190	K21137
AAJNHDNO_00191	K18138
AAJNHDNO_00192	0
AAJNHDNO_00194	0
AAJNHDNO_00195	0
AAJNHDNO_00196	K00681
AAJNHDNO_00197	0
AAJNHDNO_00198	K03458
AAJNHDNO_00199	K09017
AAJNHDNO_00200	K00560
AAJNHDNO_00201	K21020
AAJNHDNO_00202	0
AAJNHDNO_00203	0
AAJNHDNO_00204	0
AAJNHDNO_00205	K03412
AAJNHDNO_00206	K03411
AAJNHDNO_00207	K00575
AAJNHDNO_00208	K03406
AAJNHDNO_00209	K03408
AAJNHDNO_00210	K03407
AAJNHDNO_00211	K03413
AAJNHDNO_00212	K03406
AAJNHDNO_00213	0
AAJNHDNO_00214	K00059
AAJNHDNO_00215	K01130
AAJNHDNO_00216	K02049
AAJNHDNO_00217	K15554
AAJNHDNO_00218	K15553
AAJNHDNO_00219	0
AAJNHDNO_00220	K09474
AAJNHDNO_00221	0
AAJNHDNO_00222	K02014
AAJNHDNO_00223	K22303
AAJNHDNO_00224	K03119
AAJNHDNO_00225	K00324
AAJNHDNO_00226	K00324
AAJNHDNO_00227	K00325
AAJNHDNO_00228	K03832
AAJNHDNO_00229	K03561
AAJNHDNO_00230	K03559
AAJNHDNO_00231	0
AAJNHDNO_00232	K07002
AAJNHDNO_00233	K01426
AAJNHDNO_00234	K11069
AAJNHDNO_00235	K11070
AAJNHDNO_00236	K11071
AAJNHDNO_00237	K02052
AAJNHDNO_00238	K03566
AAJNHDNO_00239	K13929
AAJNHDNO_00240	K05966
AAJNHDNO_00241	K13931
AAJNHDNO_00242	K13932
AAJNHDNO_00243	K13933
AAJNHDNO_00244	K13934
AAJNHDNO_00245	K13935
AAJNHDNO_00246	0
AAJNHDNO_00247	0
AAJNHDNO_00248	K13928
AAJNHDNO_00249	0
AAJNHDNO_00250	0
AAJNHDNO_00251	K09472
AAJNHDNO_00252	0
AAJNHDNO_00253	K12256
AAJNHDNO_00254	K02055
AAJNHDNO_00255	K01714
AAJNHDNO_00256	K01628
AAJNHDNO_00257	0
AAJNHDNO_00258	K01039
AAJNHDNO_00259	K01040
AAJNHDNO_00260	K00626
AAJNHDNO_00261	K02625
AAJNHDNO_00262	K01857
AAJNHDNO_00263	K01055
AAJNHDNO_00264	K01607
AAJNHDNO_00265	0
AAJNHDNO_00266	0
AAJNHDNO_00267	K08195
AAJNHDNO_00268	0
AAJNHDNO_00269	0
AAJNHDNO_00270	0
AAJNHDNO_00271	0
AAJNHDNO_00272	K16517
AAJNHDNO_00273	K07783
AAJNHDNO_00274	K00457
AAJNHDNO_00275	0
AAJNHDNO_00276	K00014
AAJNHDNO_00277	K03786
AAJNHDNO_00278	0
AAJNHDNO_00279	K00481
AAJNHDNO_00280	K02508
AAJNHDNO_00281	K03827
AAJNHDNO_00282	0
AAJNHDNO_00283	0
AAJNHDNO_00285	0
AAJNHDNO_00286	K03182
AAJNHDNO_00287	0
AAJNHDNO_00289	K07497
AAJNHDNO_00290	0
AAJNHDNO_00291	0
AAJNHDNO_00292	0
AAJNHDNO_00294	K11904
AAJNHDNO_00295	K11903
AAJNHDNO_00297	K00135
AAJNHDNO_00298	K07250
AAJNHDNO_00299	0
AAJNHDNO_00300	K00375
AAJNHDNO_00301	0
AAJNHDNO_00302	0
AAJNHDNO_00303	0
AAJNHDNO_00304	0
AAJNHDNO_00305	K03449
AAJNHDNO_00306	0
AAJNHDNO_00307	K10914
AAJNHDNO_00308	0
AAJNHDNO_00309	K07387
AAJNHDNO_00310	K07090
AAJNHDNO_00311	0
AAJNHDNO_00312	K02045
AAJNHDNO_00313	K02047
AAJNHDNO_00314	K02046
AAJNHDNO_00315	K02048
AAJNHDNO_00316	0
AAJNHDNO_00317	0
AAJNHDNO_00318	K00507
AAJNHDNO_00319	K03307
AAJNHDNO_00320	K01479
AAJNHDNO_00321	0
AAJNHDNO_00322	0
AAJNHDNO_00323	0
AAJNHDNO_00324	K10536
AAJNHDNO_00325	K12251
AAJNHDNO_00326	0
AAJNHDNO_00327	K11073
AAJNHDNO_00328	K01915
AAJNHDNO_00329	K07010
AAJNHDNO_00330	K01915
AAJNHDNO_00331	K12256
AAJNHDNO_00332	K11073
AAJNHDNO_00333	K11073
AAJNHDNO_00334	K02052
AAJNHDNO_00335	K11075
AAJNHDNO_00336	K11070
AAJNHDNO_00337	K01434
AAJNHDNO_00338	0
AAJNHDNO_00339	0
AAJNHDNO_00340	0
AAJNHDNO_00341	K01048
AAJNHDNO_00342	0
AAJNHDNO_00343	K07394
AAJNHDNO_00344	0
AAJNHDNO_00346	0
AAJNHDNO_00347	K02029
AAJNHDNO_00348	K02424
AAJNHDNO_00349	0
AAJNHDNO_00350	K00058
AAJNHDNO_00351	K00104
AAJNHDNO_00352	0
AAJNHDNO_00353	0
AAJNHDNO_00354	0
AAJNHDNO_00355	0
AAJNHDNO_00356	K14052
AAJNHDNO_00357	K11069
AAJNHDNO_00358	K11070
AAJNHDNO_00359	K11071
AAJNHDNO_00360	K02052
AAJNHDNO_00361	0
AAJNHDNO_00362	0
AAJNHDNO_00363	K00638
AAJNHDNO_00364	K09946
AAJNHDNO_00365	K01807
AAJNHDNO_00366	K01754
AAJNHDNO_00367	0
AAJNHDNO_00368	0
AAJNHDNO_00369	0
AAJNHDNO_00370	0
AAJNHDNO_00371	0
AAJNHDNO_00372	K08311
AAJNHDNO_00373	K08484
AAJNHDNO_00374	K13069
AAJNHDNO_00375	0
AAJNHDNO_00376	K07090
AAJNHDNO_00377	K13292
AAJNHDNO_00378	K00560
AAJNHDNO_00379	0
AAJNHDNO_00380	0
AAJNHDNO_00381	0
AAJNHDNO_00382	0
AAJNHDNO_00383	K01126
AAJNHDNO_00384	0
AAJNHDNO_00385	0
AAJNHDNO_00386	K00287
AAJNHDNO_00387	K07095
AAJNHDNO_00388	K03458
AAJNHDNO_00389	K01687
AAJNHDNO_00390	K06969
AAJNHDNO_00391	K05520
AAJNHDNO_00392	0
AAJNHDNO_00393	K10563
AAJNHDNO_00394	0
AAJNHDNO_00395	0
AAJNHDNO_00396	K07126
AAJNHDNO_00397	K00681
AAJNHDNO_00398	0
AAJNHDNO_00399	K00954
AAJNHDNO_00400	0
AAJNHDNO_00401	0
AAJNHDNO_00402	K00154
AAJNHDNO_00403	0
AAJNHDNO_00404	0
AAJNHDNO_00405	K07019
AAJNHDNO_00406	0
AAJNHDNO_00407	K08316
AAJNHDNO_00408	K00960
AAJNHDNO_00409	K07263
AAJNHDNO_00410	K03110
AAJNHDNO_00411	K09812
AAJNHDNO_00412	K09811
AAJNHDNO_00413	K03089
AAJNHDNO_00414	0
AAJNHDNO_00415	K03814
AAJNHDNO_00416	0
AAJNHDNO_00417	K03154
AAJNHDNO_00418	K03149
AAJNHDNO_00419	K03439
AAJNHDNO_00420	0
AAJNHDNO_00421	0
AAJNHDNO_00422	0
AAJNHDNO_00423	0
AAJNHDNO_00424	K02428
AAJNHDNO_00425	0
AAJNHDNO_00426	0
AAJNHDNO_00427	K00641
AAJNHDNO_00428	0
AAJNHDNO_00429	K09131
AAJNHDNO_00430	K02221
AAJNHDNO_00431	K00286
AAJNHDNO_00432	K06997
AAJNHDNO_00433	K02669
AAJNHDNO_00434	K02670
AAJNHDNO_00435	K16264
AAJNHDNO_00436	0
AAJNHDNO_00437	K01697
AAJNHDNO_00438	K01758
AAJNHDNO_00439	K01465
AAJNHDNO_00440	K00609
AAJNHDNO_00441	K02825
AAJNHDNO_00442	K07447
AAJNHDNO_00443	K07735
AAJNHDNO_00444	K03832
AAJNHDNO_00445	K01920
AAJNHDNO_00446	K02657
AAJNHDNO_00447	K02658
AAJNHDNO_00448	K02659
AAJNHDNO_00449	K02660
AAJNHDNO_00450	K00575
AAJNHDNO_00451	K02487
AAJNHDNO_00452	K03412
AAJNHDNO_00453	K06598
AAJNHDNO_00454	K06599
AAJNHDNO_00455	K06600
AAJNHDNO_00456	0
AAJNHDNO_00457	K09761
AAJNHDNO_00458	K00833
AAJNHDNO_00459	K00274
AAJNHDNO_00460	K12262
AAJNHDNO_00461	0
AAJNHDNO_00462	K18131
AAJNHDNO_00463	K03585
AAJNHDNO_00464	K18138
AAJNHDNO_00465	K18139
AAJNHDNO_00466	K11927
AAJNHDNO_00467	0
AAJNHDNO_00468	K00297
AAJNHDNO_00469	K01139
AAJNHDNO_00470	K01251
AAJNHDNO_00471	0
AAJNHDNO_00472	K02014
AAJNHDNO_00473	0
AAJNHDNO_00474	K09017
AAJNHDNO_00475	K01485
AAJNHDNO_00476	K10974
AAJNHDNO_00477	K17723
AAJNHDNO_00478	K17722
AAJNHDNO_00479	K01464
AAJNHDNO_00480	K03457
AAJNHDNO_00481	K06016
AAJNHDNO_00482	0
AAJNHDNO_00483	K00252
AAJNHDNO_00484	0
AAJNHDNO_00485	0
AAJNHDNO_00486	K03306
AAJNHDNO_00487	K07403
AAJNHDNO_00488	0
AAJNHDNO_00489	K02030
AAJNHDNO_00490	0
AAJNHDNO_00491	K05591
AAJNHDNO_00492	K03704
AAJNHDNO_00493	0
AAJNHDNO_00494	0
AAJNHDNO_00495	0
AAJNHDNO_00496	K03696
AAJNHDNO_00497	0
AAJNHDNO_00498	0
AAJNHDNO_00499	0
AAJNHDNO_00500	K07663
AAJNHDNO_00501	K07641
AAJNHDNO_00502	K06143
AAJNHDNO_00503	0
AAJNHDNO_00505	0
AAJNHDNO_00506	K18235
AAJNHDNO_00507	0
AAJNHDNO_00508	K02014
AAJNHDNO_00509	K07165
AAJNHDNO_00510	K03088
AAJNHDNO_00511	0
AAJNHDNO_00512	0
AAJNHDNO_00513	0
AAJNHDNO_00514	K03457
AAJNHDNO_00515	0
AAJNHDNO_00516	K00657
AAJNHDNO_00517	0
AAJNHDNO_00518	K01055
AAJNHDNO_00520	K01638
AAJNHDNO_00521	0
AAJNHDNO_00522	0
AAJNHDNO_00523	K05786
AAJNHDNO_00524	0
AAJNHDNO_00525	K02019
AAJNHDNO_00526	K05811
AAJNHDNO_00527	0
AAJNHDNO_00528	0
AAJNHDNO_00529	0
AAJNHDNO_00530	K07160
AAJNHDNO_00531	0
AAJNHDNO_00532	K01961
AAJNHDNO_00533	0
AAJNHDNO_00534	0
AAJNHDNO_00535	0
AAJNHDNO_00536	K07346
AAJNHDNO_00537	K01012
AAJNHDNO_00538	K00652
AAJNHDNO_00539	K02170
AAJNHDNO_00540	K02169
AAJNHDNO_00541	K01935
AAJNHDNO_00542	0
AAJNHDNO_00543	0
AAJNHDNO_00544	0
AAJNHDNO_00545	0
AAJNHDNO_00546	0
AAJNHDNO_00547	K02302
AAJNHDNO_00548	K06139
AAJNHDNO_00549	0
AAJNHDNO_00550	0
AAJNHDNO_00551	0
AAJNHDNO_00552	0
AAJNHDNO_00553	K19345
AAJNHDNO_00554	K19344
AAJNHDNO_00555	K08738
AAJNHDNO_00556	K15864
AAJNHDNO_00557	K04748
AAJNHDNO_00558	K02164
AAJNHDNO_00559	0
AAJNHDNO_00560	K02305
AAJNHDNO_00561	K04561
AAJNHDNO_00562	K02448
AAJNHDNO_00563	0
AAJNHDNO_00564	K21563
AAJNHDNO_00565	0
AAJNHDNO_00566	0
AAJNHDNO_00567	0
AAJNHDNO_00568	K00821
AAJNHDNO_00569	K01951
AAJNHDNO_00571	0
AAJNHDNO_00572	K09471
AAJNHDNO_00573	0
AAJNHDNO_00574	K06872
AAJNHDNO_00575	K03744
AAJNHDNO_00576	K03611
AAJNHDNO_00577	0
AAJNHDNO_00578	0
AAJNHDNO_00579	0
AAJNHDNO_00580	0
AAJNHDNO_00581	K03932
AAJNHDNO_00582	0
AAJNHDNO_00583	0
AAJNHDNO_00584	K00789
AAJNHDNO_00585	0
AAJNHDNO_00586	K00615
AAJNHDNO_00587	0
AAJNHDNO_00588	K01816
AAJNHDNO_00589	K00134
AAJNHDNO_00590	K00927
AAJNHDNO_00591	0
AAJNHDNO_00592	0
AAJNHDNO_00593	K01624
AAJNHDNO_00594	0
AAJNHDNO_00595	0
AAJNHDNO_00596	0
AAJNHDNO_00597	K07007
AAJNHDNO_00598	K07043
AAJNHDNO_00599	0
AAJNHDNO_00600	0
AAJNHDNO_00601	K18991
AAJNHDNO_00602	0
AAJNHDNO_00603	0
AAJNHDNO_00604	0
AAJNHDNO_00605	0
AAJNHDNO_00606	0
AAJNHDNO_00607	0
AAJNHDNO_00608	0
AAJNHDNO_00609	K21429
AAJNHDNO_00610	K07154
AAJNHDNO_00611	0
AAJNHDNO_00612	0
AAJNHDNO_00613	0
AAJNHDNO_00614	0
AAJNHDNO_00615	0
AAJNHDNO_00616	0
AAJNHDNO_00617	0
AAJNHDNO_00618	0
AAJNHDNO_00619	0
AAJNHDNO_00620	0
AAJNHDNO_00621	0
AAJNHDNO_00622	0
AAJNHDNO_00623	0
AAJNHDNO_00624	0
AAJNHDNO_00625	0
AAJNHDNO_00626	0
AAJNHDNO_00627	K14744
AAJNHDNO_00628	K01185
AAJNHDNO_00630	0
AAJNHDNO_00631	0
AAJNHDNO_00632	0
AAJNHDNO_00633	0
AAJNHDNO_00634	0
AAJNHDNO_00635	0
AAJNHDNO_00636	0
AAJNHDNO_00637	0
AAJNHDNO_00638	0
AAJNHDNO_00639	0
AAJNHDNO_00640	0
AAJNHDNO_00641	0
AAJNHDNO_00645	0
AAJNHDNO_00646	0
AAJNHDNO_00647	0
AAJNHDNO_00650	0
AAJNHDNO_00651	0
AAJNHDNO_00652	0
AAJNHDNO_00654	0
AAJNHDNO_00655	K03086
AAJNHDNO_00656	K02316
AAJNHDNO_00657	K09117
AAJNHDNO_00658	K02970
AAJNHDNO_00659	K01409
AAJNHDNO_00660	K08591
AAJNHDNO_00661	K01633
AAJNHDNO_00662	K00950
AAJNHDNO_00663	K00974
AAJNHDNO_00664	0
AAJNHDNO_00665	K06415
AAJNHDNO_00666	K09786
AAJNHDNO_00667	K07180
AAJNHDNO_00668	K02439
AAJNHDNO_00669	K01525
AAJNHDNO_00670	K06195
AAJNHDNO_00671	K02528
AAJNHDNO_00672	K00097
AAJNHDNO_00673	K03771
AAJNHDNO_00674	K04744
AAJNHDNO_00675	K07102
AAJNHDNO_00676	K00966
AAJNHDNO_00677	K05801
AAJNHDNO_00678	0
AAJNHDNO_00679	K07675
AAJNHDNO_00680	K07686
AAJNHDNO_00681	K02055
AAJNHDNO_00682	K02052
AAJNHDNO_00683	K02055
AAJNHDNO_00684	K02054
AAJNHDNO_00685	K02053
AAJNHDNO_00686	K01783
AAJNHDNO_00687	K01091
AAJNHDNO_00688	K01657
AAJNHDNO_00689	0
AAJNHDNO_00690	0
AAJNHDNO_00692	0
AAJNHDNO_00693	0
AAJNHDNO_00694	0
AAJNHDNO_00695	0
AAJNHDNO_00696	0
AAJNHDNO_00697	K06903
AAJNHDNO_00698	0
AAJNHDNO_00699	0
AAJNHDNO_00700	0
AAJNHDNO_00701	0
AAJNHDNO_00702	K06907
AAJNHDNO_00703	K06908
AAJNHDNO_00704	0
AAJNHDNO_00705	0
AAJNHDNO_00706	K06906
AAJNHDNO_00707	0
AAJNHDNO_00708	K06905
AAJNHDNO_00709	K03791
AAJNHDNO_00710	0
AAJNHDNO_00711	0
AAJNHDNO_00712	K01658
AAJNHDNO_00713	K00766
AAJNHDNO_00714	K01609
AAJNHDNO_00715	K10914
AAJNHDNO_00716	K07397
AAJNHDNO_00717	K01611
AAJNHDNO_00718	K06134
AAJNHDNO_00719	K02503
AAJNHDNO_00720	0
AAJNHDNO_00721	K07124
AAJNHDNO_00722	0
AAJNHDNO_00723	K00459
AAJNHDNO_00724	K08973
AAJNHDNO_00725	K00145
AAJNHDNO_00726	0
AAJNHDNO_00727	0
AAJNHDNO_00728	K15724
AAJNHDNO_00729	K09001
AAJNHDNO_00730	0
AAJNHDNO_00731	K01866
AAJNHDNO_00737	K03808
AAJNHDNO_00738	K03808
AAJNHDNO_00739	K06192
AAJNHDNO_00740	K02011
AAJNHDNO_00741	K02012
AAJNHDNO_00742	0
AAJNHDNO_00743	0
AAJNHDNO_00744	0
AAJNHDNO_00745	0
AAJNHDNO_00746	0
AAJNHDNO_00747	0
AAJNHDNO_00748	0
AAJNHDNO_00749	0
AAJNHDNO_00750	K03789
AAJNHDNO_00751	0
AAJNHDNO_00752	K01673
AAJNHDNO_00753	K02014
AAJNHDNO_00754	K21498
AAJNHDNO_00755	K00986
AAJNHDNO_00756	0
AAJNHDNO_00757	0
AAJNHDNO_00758	0
AAJNHDNO_00759	0
AAJNHDNO_00761	0
AAJNHDNO_00763	0
AAJNHDNO_00764	0
AAJNHDNO_00765	0
AAJNHDNO_00767	0
AAJNHDNO_00768	0
AAJNHDNO_00769	0
AAJNHDNO_00771	K06942
AAJNHDNO_00772	K01056
AAJNHDNO_00773	K02897
AAJNHDNO_00775	K00919
AAJNHDNO_00776	K02494
AAJNHDNO_00777	0
AAJNHDNO_00778	K02492
AAJNHDNO_00779	K02835
AAJNHDNO_00780	K02493
AAJNHDNO_00781	K21029
AAJNHDNO_00782	K01776
AAJNHDNO_00783	K12976
AAJNHDNO_00784	K01669
AAJNHDNO_00785	K21089
AAJNHDNO_00786	0
AAJNHDNO_00787	K06955
AAJNHDNO_00788	K07071
AAJNHDNO_00789	K01772
AAJNHDNO_00790	0
AAJNHDNO_00791	0
AAJNHDNO_00792	K07347
AAJNHDNO_00793	K07346
AAJNHDNO_00794	0
AAJNHDNO_00795	0
AAJNHDNO_00796	0
AAJNHDNO_00797	K02824
AAJNHDNO_00798	K00761
AAJNHDNO_00799	K00760
AAJNHDNO_00800	0
AAJNHDNO_00801	0
AAJNHDNO_00802	0
AAJNHDNO_00803	K04750
AAJNHDNO_00804	K00116
AAJNHDNO_00805	K07286
AAJNHDNO_00806	0
AAJNHDNO_00807	0
AAJNHDNO_00808	0
AAJNHDNO_00809	0
AAJNHDNO_00810	0
AAJNHDNO_00811	K07507
AAJNHDNO_00812	0
AAJNHDNO_00813	K03406
AAJNHDNO_00814	0
AAJNHDNO_00815	K00091
AAJNHDNO_00816	0
AAJNHDNO_00817	0
AAJNHDNO_00818	K02205
AAJNHDNO_00819	K00564
AAJNHDNO_00820	K00018
AAJNHDNO_00821	0
AAJNHDNO_00822	0
AAJNHDNO_00823	0
AAJNHDNO_00824	0
AAJNHDNO_00825	0
AAJNHDNO_00826	0
AAJNHDNO_00827	0
AAJNHDNO_00828	K07402
AAJNHDNO_00829	K07141
AAJNHDNO_00830	K00564
AAJNHDNO_00831	K11688
AAJNHDNO_00832	K00528
AAJNHDNO_00833	K03282
AAJNHDNO_00834	K03781
AAJNHDNO_00835	K06867
AAJNHDNO_00836	K09794
AAJNHDNO_00837	0
AAJNHDNO_00838	K04485
AAJNHDNO_00839	0
AAJNHDNO_00840	0
AAJNHDNO_00841	K06200
AAJNHDNO_00842	0
AAJNHDNO_00843	0
AAJNHDNO_00844	0
AAJNHDNO_00845	K00600
AAJNHDNO_00846	0
AAJNHDNO_00847	K18294
AAJNHDNO_00848	K18094
AAJNHDNO_00849	K03296
AAJNHDNO_00850	K07796
AAJNHDNO_00851	K18294
AAJNHDNO_00853	K06020
AAJNHDNO_00854	K02003
AAJNHDNO_00855	K02004
AAJNHDNO_00856	K00428
AAJNHDNO_00857	0
AAJNHDNO_00858	K01974
AAJNHDNO_00859	K07074
AAJNHDNO_00860	K14415
AAJNHDNO_00861	0
AAJNHDNO_00863	K14414
AAJNHDNO_00864	K09935
AAJNHDNO_00865	0
AAJNHDNO_00866	0
AAJNHDNO_00867	0
AAJNHDNO_00868	K04770
AAJNHDNO_00869	0
AAJNHDNO_00870	0
AAJNHDNO_00871	0
AAJNHDNO_00872	K03773
AAJNHDNO_00873	K19713
AAJNHDNO_00874	0
AAJNHDNO_00875	K02523
AAJNHDNO_00876	K02888
AAJNHDNO_00877	K02899
AAJNHDNO_00878	K03979
AAJNHDNO_00879	K00931
AAJNHDNO_00880	K05805
AAJNHDNO_00881	K02968
AAJNHDNO_00882	K03980
AAJNHDNO_00883	K11753
AAJNHDNO_00884	K01870
AAJNHDNO_00885	K03101
AAJNHDNO_00886	K03774
AAJNHDNO_00887	K03527
AAJNHDNO_00888	K02655
AAJNHDNO_00889	K02675
AAJNHDNO_00890	K02674
AAJNHDNO_00891	K02673
AAJNHDNO_00892	K02672
AAJNHDNO_00893	K02671
AAJNHDNO_00894	K08084
AAJNHDNO_00895	0
AAJNHDNO_00896	K03153
AAJNHDNO_00897	K02481
AAJNHDNO_00898	K02668
AAJNHDNO_00899	K06950
AAJNHDNO_00900	K05807
AAJNHDNO_00901	K06180
AAJNHDNO_00902	K05810
AAJNHDNO_00903	K03695
AAJNHDNO_00907	0
AAJNHDNO_00908	0
AAJNHDNO_00909	0
AAJNHDNO_00911	0
AAJNHDNO_00912	0
AAJNHDNO_00913	0
AAJNHDNO_00914	0
AAJNHDNO_00915	0
AAJNHDNO_00916	K00558
AAJNHDNO_00917	0
AAJNHDNO_00918	0
AAJNHDNO_00919	0
AAJNHDNO_00920	0
AAJNHDNO_00921	0
AAJNHDNO_00922	0
AAJNHDNO_00923	0
AAJNHDNO_00924	0
AAJNHDNO_00925	0
AAJNHDNO_00926	0
AAJNHDNO_00927	0
AAJNHDNO_00928	0
AAJNHDNO_00929	0
AAJNHDNO_00930	0
AAJNHDNO_00931	K12071
AAJNHDNO_00932	0
AAJNHDNO_00933	0
AAJNHDNO_00934	0
AAJNHDNO_00935	0
AAJNHDNO_00936	0
AAJNHDNO_00937	0
AAJNHDNO_00938	0
AAJNHDNO_00939	0
AAJNHDNO_00940	K07497
AAJNHDNO_00941	K03169
AAJNHDNO_00942	0
AAJNHDNO_00943	0
AAJNHDNO_00944	0
AAJNHDNO_00945	0
AAJNHDNO_00947	0
AAJNHDNO_00948	0
AAJNHDNO_00949	0
AAJNHDNO_00950	0
AAJNHDNO_00952	0
AAJNHDNO_00955	0
AAJNHDNO_00956	0
AAJNHDNO_00958	0
AAJNHDNO_00959	0
AAJNHDNO_00960	0
AAJNHDNO_00961	0
AAJNHDNO_00962	K10934
AAJNHDNO_00963	0
AAJNHDNO_00964	0
AAJNHDNO_00965	0
AAJNHDNO_00966	0
AAJNHDNO_00967	K02487
AAJNHDNO_00968	0
AAJNHDNO_00969	0
AAJNHDNO_00971	0
AAJNHDNO_00972	0
AAJNHDNO_00973	0
AAJNHDNO_00974	K03168
