locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKJFLGDP_00153	CDS	639				hypothetical protein
JKJFLGDP_00154	CDS	1206				hypothetical protein
JKJFLGDP_00155	CDS	1140	ino1	5.5.1.4	COG1260	Inositol-3-phosphate synthase
JKJFLGDP_00156	CDS	963				hypothetical protein
JKJFLGDP_00157	CDS	1278				hypothetical protein
JKJFLGDP_00158	CDS	738				hypothetical protein
JKJFLGDP_00159	CDS	732				hypothetical protein
JKJFLGDP_00160	CDS	1557				IS66 family transposase ISMbu5
JKJFLGDP_00161	CDS	279				hypothetical protein
JKJFLGDP_00162	CDS	531				hypothetical protein
JKJFLGDP_00163	CDS	2508	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
JKJFLGDP_00164	CDS	891				hypothetical protein
JKJFLGDP_00165	CDS	621	prcB	3.4.25.1	COG0638	Proteasome subunit beta
JKJFLGDP_00166	CDS	1908	rnj	3.1.-.-		Ribonuclease J
JKJFLGDP_00167	CDS	519				hypothetical protein
JKJFLGDP_00168	CDS	789				hypothetical protein
JKJFLGDP_00169	CDS	2442				hypothetical protein
JKJFLGDP_00170	CDS	675	yccX_4	3.6.1.7		Acylphosphatase
JKJFLGDP_00171	CDS	660				hypothetical protein
JKJFLGDP_00172	CDS	726				hypothetical protein
JKJFLGDP_00173	CDS	1524				hypothetical protein
JKJFLGDP_00174	CDS	978	recA			Protein RecA
JKJFLGDP_00175	CDS	1116				hypothetical protein
JKJFLGDP_00176	CDS	1734	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JKJFLGDP_00177	CDS	2019	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
JKJFLGDP_00178	CDS	1038				hypothetical protein
JKJFLGDP_00179	CDS	309				hypothetical protein
JKJFLGDP_00180	CDS	1143	iscS	2.8.1.7		Cysteine desulfurase IscS
JKJFLGDP_00181	CDS	249				hypothetical protein
JKJFLGDP_00182	tRNA	73				tRNA-Pro(ggg)
JKJFLGDP_00183	CDS	810				IS1634 family transposase ISMth2
JKJFLGDP_00184	CDS	840				IS21 family transposase ISMac9
JKJFLGDP_00185	CDS	822				hypothetical protein
JKJFLGDP_00186	CDS	1311				IS66 family transposase ISArch15
JKJFLGDP_00187	CDS	540				hypothetical protein
JKJFLGDP_00188	CDS	744				IS1634 family transposase ISMth2
JKJFLGDP_00189	CDS	3492	tolB_1			Tol-Pal system protein TolB
JKJFLGDP_00190	CDS	3624	tolB_2			Tol-Pal system protein TolB
JKJFLGDP_00191	CDS	1056				hypothetical protein
JKJFLGDP_00192	CDS	1728				hypothetical protein
JKJFLGDP_00193	CDS	102				hypothetical protein
JKJFLGDP_00194	CDS	780				hypothetical protein
JKJFLGDP_00195	CDS	459				hypothetical protein
JKJFLGDP_00196	CDS	1341	allB	3.5.2.5	COG0044	Allantoinase
JKJFLGDP_00197	CDS	483				hypothetical protein
JKJFLGDP_00198	CDS	282				hypothetical protein
JKJFLGDP_00199	CDS	924				hypothetical protein
JKJFLGDP_00200	CDS	483				hypothetical protein
JKJFLGDP_00201	CDS	219				hypothetical protein
JKJFLGDP_00202	CDS	1410	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
JKJFLGDP_00203	CDS	438				Putative universal stress protein
JKJFLGDP_00204	CDS	1365	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
JKJFLGDP_00205	CDS	387	atpC			ATP synthase epsilon chain
JKJFLGDP_00206	CDS	318				hypothetical protein
JKJFLGDP_00207	CDS	303				hypothetical protein
JKJFLGDP_00208	CDS	702	atpB		COG0356	ATP synthase subunit a
JKJFLGDP_00209	CDS	279	atpE			ATP synthase subunit c, sodium ion specific
JKJFLGDP_00210	CDS	816	atpF			ATP synthase subunit b
JKJFLGDP_00211	CDS	1515	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
JKJFLGDP_00212	CDS	894	atpG		COG0224	ATP synthase gamma chain
JKJFLGDP_00213	CDS	201				hypothetical protein
JKJFLGDP_00214	CDS	1281				L-lactate transporter
JKJFLGDP_00215	CDS	570	ccmM		COG0663	Carbon dioxide concentrating mechanism protein CcmM
JKJFLGDP_00216	CDS	1029	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
JKJFLGDP_00217	CDS	975	mftC_1	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
JKJFLGDP_00218	CDS	483				hypothetical protein
JKJFLGDP_00219	CDS	273	trxA		COG0526	Thioredoxin
JKJFLGDP_00220	CDS	966				hypothetical protein
JKJFLGDP_00221	CDS	327				hypothetical protein
JKJFLGDP_00222	CDS	222				hypothetical protein
JKJFLGDP_00223	CDS	654	gpt	2.4.2.22		Xanthine phosphoribosyltransferase
JKJFLGDP_00224	CDS	327				hypothetical protein
JKJFLGDP_00225	CDS	258				hypothetical protein
JKJFLGDP_00226	CDS	1320				hypothetical protein
JKJFLGDP_00227	CDS	279				hypothetical protein
JKJFLGDP_00228	CDS	1272				hypothetical protein
JKJFLGDP_00229	CDS	189				hypothetical protein
JKJFLGDP_00230	CDS	360				hypothetical protein
JKJFLGDP_00231	CDS	420				hypothetical protein
JKJFLGDP_00232	CDS	399	rpsI		COG0103	30S ribosomal protein S9
JKJFLGDP_00233	CDS	186				hypothetical protein
JKJFLGDP_00234	tRNA	75				tRNA-Pro(cgg)
JKJFLGDP_00235	CDS	180				hypothetical protein
JKJFLGDP_00236	CDS	621				hypothetical protein
JKJFLGDP_00237	CDS	792				hypothetical protein
JKJFLGDP_00238	CDS	954	galK	2.7.1.6		Galactokinase
JKJFLGDP_00239	CDS	753	argB_1	2.7.2.8		Acetylglutamate kinase
JKJFLGDP_00240	CDS	1098	fni	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
JKJFLGDP_00241	CDS	1338	rnj1	3.1.-.-		Ribonuclease J 1
JKJFLGDP_00242	CDS	966	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
JKJFLGDP_00243	CDS	165				hypothetical protein
JKJFLGDP_00244	CDS	1701				hypothetical protein
JKJFLGDP_00245	CDS	1692	cas4-cas1_1	3.1.-.-	COG1518	CRISPR-associated exonuclease Cas4/endonuclease Cas1 fusion
JKJFLGDP_00246	CDS	300	cas2_1	3.1.-.-		CRISPR-associated endoribonuclease Cas2
	repeat_region	1059				
JKJFLGDP_00247	CDS	150				hypothetical protein
JKJFLGDP_00248	CDS	156				hypothetical protein
	repeat_region	174				
JKJFLGDP_00249	CDS	1350				hypothetical protein
JKJFLGDP_00250	CDS	624				hypothetical protein
JKJFLGDP_00251	CDS	885			COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit 
JKJFLGDP_00252	CDS	246				hypothetical protein
JKJFLGDP_00253	CDS	147				hypothetical protein
JKJFLGDP_00254	CDS	855				hypothetical protein
JKJFLGDP_00255	CDS	846				hypothetical protein
JKJFLGDP_00256	CDS	1056			COG0609	putative ABC transporter permease protein
JKJFLGDP_00257	CDS	948	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JKJFLGDP_00258	CDS	1185			COG0614	putative protein
JKJFLGDP_00259	CDS	288				hypothetical protein
JKJFLGDP_00260	CDS	795				hypothetical protein
JKJFLGDP_00261	CDS	402				hypothetical protein
JKJFLGDP_00262	CDS	762				hypothetical protein
JKJFLGDP_00263	CDS	228				hypothetical protein
JKJFLGDP_00264	CDS	96				hypothetical protein
JKJFLGDP_00265	CDS	2235				hypothetical protein
JKJFLGDP_00266	CDS	1992	aguA	3.5.3.12		Agmatine deiminase
JKJFLGDP_00267	CDS	885				hypothetical protein
JKJFLGDP_00268	CDS	933	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
JKJFLGDP_00269	CDS	762	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
JKJFLGDP_00270	CDS	807	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
JKJFLGDP_00271	CDS	846				hypothetical protein
JKJFLGDP_00272	CDS	153				hypothetical protein
JKJFLGDP_00273	CDS	621				IS630 family transposase ISThsp15
JKJFLGDP_00274	CDS	225				hypothetical protein
JKJFLGDP_00275	CDS	120				hypothetical protein
JKJFLGDP_00276	CDS	198				hypothetical protein
JKJFLGDP_00277	CDS	306				hypothetical protein
JKJFLGDP_00278	CDS	177				hypothetical protein
JKJFLGDP_00279	CDS	171				hypothetical protein
JKJFLGDP_00280	CDS	354				hypothetical protein
JKJFLGDP_00281	CDS	999				hypothetical protein
JKJFLGDP_00282	CDS	972	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
JKJFLGDP_00283	CDS	813				hypothetical protein
JKJFLGDP_00284	CDS	1257				hypothetical protein
JKJFLGDP_00285	CDS	1155	fbiB_1	6.3.2.34		Bifunctional F420 biosynthesis protein FbiB
JKJFLGDP_00286	CDS	1371	lutA			Lactate utilization protein A
JKJFLGDP_00287	CDS	753				hypothetical protein
JKJFLGDP_00288	CDS	774				hypothetical protein
JKJFLGDP_00289	CDS	1602				hypothetical protein
JKJFLGDP_00290	CDS	432			COG1720	S-adenosyl-L-methionine-binding protein
JKJFLGDP_00291	CDS	987	dppB_1		COG0601	Dipeptide transport system permease protein DppB
JKJFLGDP_00292	CDS	1023	dppC		COG1173	Dipeptide transport system permease protein DppC
JKJFLGDP_00293	CDS	1713			COG1123	putative ABC transporter ATP-binding protein
JKJFLGDP_00294	CDS	579				hypothetical protein
JKJFLGDP_00295	CDS	1095				hypothetical protein
JKJFLGDP_00296	CDS	948				hypothetical protein
JKJFLGDP_00297	CDS	612	cas4	3.1.12.1		CRISPR-associated exonuclease Cas4
JKJFLGDP_00298	CDS	279	cas2_2	3.1.-.-		CRISPR-associated endoribonuclease Cas2
JKJFLGDP_00299	CDS	1014	cas1-1	3.1.-.-		CRISPR-associated endonuclease Cas1 1
JKJFLGDP_00300	CDS	1524				hypothetical protein
JKJFLGDP_00301	CDS	1086				hypothetical protein
JKJFLGDP_00302	CDS	747				hypothetical protein
JKJFLGDP_00303	CDS	2379				hypothetical protein
	repeat_region	2440				
	repeat_region	3017				
JKJFLGDP_00304	CDS	324				hypothetical protein
JKJFLGDP_00305	CDS	327				hypothetical protein
JKJFLGDP_00306	CDS	174				hypothetical protein
JKJFLGDP_00307	CDS	585	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
JKJFLGDP_00308	CDS	642				hypothetical protein
JKJFLGDP_00309	CDS	1242				hypothetical protein
JKJFLGDP_00310	CDS	1035				hypothetical protein
JKJFLGDP_00311	tRNA	74				tRNA-Gln(ctg)
JKJFLGDP_00312	CDS	327				hypothetical protein
JKJFLGDP_00313	CDS	588				hypothetical protein
JKJFLGDP_00314	CDS	180				hypothetical protein
JKJFLGDP_00315	CDS	1746				hypothetical protein
JKJFLGDP_00316	CDS	666				hypothetical protein
JKJFLGDP_00317	CDS	648	adk	2.7.4.3		Adenylate kinase
JKJFLGDP_00318	CDS	2382	pyrE_2	2.4.2.10		Orotate phosphoribosyltransferase
JKJFLGDP_00319	CDS	672	pyrH_1	2.7.4.22	COG0528	Uridylate kinase
JKJFLGDP_00320	CDS	477	pyrH_2			Uridylate kinase
JKJFLGDP_00321	CDS	888				hypothetical protein
JKJFLGDP_00322	CDS	1146	pqqE_1	1.21.98.4		PqqA peptide cyclase
JKJFLGDP_00323	CDS	339	hisI	3.5.4.19		Phosphoribosyl-AMP cyclohydrolase
JKJFLGDP_00324	CDS	1170				hypothetical protein
JKJFLGDP_00325	CDS	2664		7.2.2.10		Calcium-transporting ATPase 1
JKJFLGDP_00326	CDS	1563				hypothetical protein
JKJFLGDP_00327	CDS	1656				hypothetical protein
JKJFLGDP_00328	CDS	2724				hypothetical protein
JKJFLGDP_00329	CDS	1215				hypothetical protein
JKJFLGDP_00330	CDS	735				putative ABC transporter ATP-binding protein
JKJFLGDP_00331	CDS	678				hypothetical protein
JKJFLGDP_00332	CDS	1293	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
JKJFLGDP_00333	CDS	420				hypothetical protein
JKJFLGDP_00334	CDS	687			COG1662	IS1 family transposase ISBeg1
JKJFLGDP_00335	CDS	1062				hypothetical protein
JKJFLGDP_00336	CDS	2328				hypothetical protein
JKJFLGDP_00337	CDS	1053				hypothetical protein
JKJFLGDP_00338	CDS	396				hypothetical protein
JKJFLGDP_00339	CDS	345				hypothetical protein
JKJFLGDP_00340	CDS	468				hypothetical protein
JKJFLGDP_00341	CDS	1500	nhaP			K(+)/H(+) antiporter NhaP
JKJFLGDP_00342	CDS	972	LIAS	2.8.1.8		Lipoyl synthase, organellar chromatophore
JKJFLGDP_00343	tRNA	86				tRNA-Ser(gct)
JKJFLGDP_00344	CDS	381	guaB	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
JKJFLGDP_00345	CDS	495		2.7.7.53	COG0537	AP-4-A phosphorylase
JKJFLGDP_00346	CDS	615	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
JKJFLGDP_00347	CDS	270				hypothetical protein
JKJFLGDP_00348	CDS	615				hypothetical protein
JKJFLGDP_00349	CDS	477	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
JKJFLGDP_00350	CDS	555				hypothetical protein
JKJFLGDP_00351	CDS	780	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
JKJFLGDP_00352	CDS	978	IMPDH_2	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
JKJFLGDP_00353	CDS	861	IMPDH_3	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
JKJFLGDP_00354	CDS	780	IMPDH_4	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
JKJFLGDP_00355	CDS	1122				hypothetical protein
JKJFLGDP_00356	CDS	1236				hypothetical protein
JKJFLGDP_00357	CDS	552				hypothetical protein
JKJFLGDP_00358	CDS	2676	polB	2.7.7.7	COG0417	DNA polymerase II
JKJFLGDP_00359	CDS	648				hypothetical protein
JKJFLGDP_00360	CDS	1416	acsC		COG1456	Corrinoid/iron-sulfur protein large subunit
JKJFLGDP_00361	CDS	1353				hypothetical protein
JKJFLGDP_00362	CDS	759				hypothetical protein
JKJFLGDP_00363	CDS	177				hypothetical protein
JKJFLGDP_00364	CDS	177				hypothetical protein
JKJFLGDP_00365	CDS	1407		2.3.1.169	COG1152	Carbon monoxide dehydrogenase/acetyl-CoA synthase subunit alpha
JKJFLGDP_00366	CDS	564				hypothetical protein
JKJFLGDP_00367	CDS	2418				hypothetical protein
JKJFLGDP_00368	CDS	1095	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
JKJFLGDP_00369	CDS	243				hypothetical protein
JKJFLGDP_00370	CDS	927	cobD_2		COG1270	Cobalamin biosynthesis protein CobD
JKJFLGDP_00371	CDS	117				hypothetical protein
JKJFLGDP_00372	CDS	657				hypothetical protein
JKJFLGDP_00373	CDS	3858	ycf3_1			Photosystem I assembly protein Ycf3
JKJFLGDP_00374	CDS	168				hypothetical protein
JKJFLGDP_00375	CDS	387	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
JKJFLGDP_00376	CDS	1503	IMPDH_5	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
JKJFLGDP_00377	CDS	1503				hypothetical protein
JKJFLGDP_00378	CDS	303				hypothetical protein
JKJFLGDP_00379	CDS	1047	moaA_1			GTP 3',8-cyclase
JKJFLGDP_00380	CDS	1785				hypothetical protein
JKJFLGDP_00381	CDS	588				hypothetical protein
JKJFLGDP_00382	CDS	642				hypothetical protein
JKJFLGDP_00383	CDS	237	secE2_1		COG3360	Calcium dodecin
JKJFLGDP_00384	CDS	1125	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
JKJFLGDP_00385	CDS	1185	gtfA	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
JKJFLGDP_00386	CDS	165				hypothetical protein
JKJFLGDP_00387	CDS	207				hypothetical protein
JKJFLGDP_00388	CDS	1368	ribZ_1			Riboflavin transporter RibZ
JKJFLGDP_00389	CDS	702				hypothetical protein
JKJFLGDP_00390	CDS	879				hypothetical protein
JKJFLGDP_00391	CDS	360	hxlR		COG1733	HTH-type transcriptional activator HxlR
JKJFLGDP_00392	CDS	1314	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
JKJFLGDP_00393	CDS	795	rsxB_2	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
JKJFLGDP_00394	CDS	825				hypothetical protein
JKJFLGDP_00395	CDS	1215	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
JKJFLGDP_00396	CDS	921				hypothetical protein
JKJFLGDP_00397	CDS	669	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
JKJFLGDP_00398	CDS	264				hypothetical protein
JKJFLGDP_00399	CDS	120				hypothetical protein
JKJFLGDP_00400	CDS	780				hypothetical protein
JKJFLGDP_00401	CDS	798				hypothetical protein
JKJFLGDP_00402	CDS	513				hypothetical protein
JKJFLGDP_00403	CDS	510				hypothetical protein
