query	KEGG
NGEEOFDF_00156	K02016
NGEEOFDF_00157	K01243
NGEEOFDF_00158	K01129
NGEEOFDF_00159	K04771
NGEEOFDF_00160	K02647
NGEEOFDF_00161	0
NGEEOFDF_00162	K00674
NGEEOFDF_00163	K00990
NGEEOFDF_00164	K01265
NGEEOFDF_00165	K02967
NGEEOFDF_00166	K02357
NGEEOFDF_00167	K09903
NGEEOFDF_00168	K02838
NGEEOFDF_00169	K00099
NGEEOFDF_00170	K00806
NGEEOFDF_00172	K00981
NGEEOFDF_00173	K11749
NGEEOFDF_00174	K07277
NGEEOFDF_00175	K06142
NGEEOFDF_00176	K02536
NGEEOFDF_00177	K02372
NGEEOFDF_00178	K00677
NGEEOFDF_00179	K00748
NGEEOFDF_00180	K03470
NGEEOFDF_00181	K02337
NGEEOFDF_00182	K01962
NGEEOFDF_00183	K01582
NGEEOFDF_00184	K08234
NGEEOFDF_00185	K04075
NGEEOFDF_00186	K19000
NGEEOFDF_00187	0
NGEEOFDF_00188	0
NGEEOFDF_00189	K15034
NGEEOFDF_00190	K06079
NGEEOFDF_00191	0
NGEEOFDF_00192	K01881
NGEEOFDF_00193	0
NGEEOFDF_00194	K06080
NGEEOFDF_00195	K02072
NGEEOFDF_00196	K02072
NGEEOFDF_00197	K02071
NGEEOFDF_00198	K03273
NGEEOFDF_00205	K06221
NGEEOFDF_00206	0
NGEEOFDF_00207	0
NGEEOFDF_00208	0
NGEEOFDF_00209	K08307
NGEEOFDF_00210	K01069
NGEEOFDF_00211	0
NGEEOFDF_00212	K03469
NGEEOFDF_00213	K02342
NGEEOFDF_00215	0
NGEEOFDF_00217	0
NGEEOFDF_00218	0
NGEEOFDF_00220	K06887
NGEEOFDF_00221	K11911
NGEEOFDF_00222	K11891
NGEEOFDF_00223	K11910
NGEEOFDF_00224	K11910
NGEEOFDF_00225	K11909
NGEEOFDF_00226	K11907
NGEEOFDF_00227	K11892
NGEEOFDF_00228	K11893
NGEEOFDF_00229	K11906
NGEEOFDF_00230	K11894
NGEEOFDF_00231	K11895
NGEEOFDF_00232	K11896
NGEEOFDF_00233	K11905
NGEEOFDF_00234	K11900
NGEEOFDF_00236	K11901
NGEEOFDF_00237	K11903
NGEEOFDF_00238	K11904
NGEEOFDF_00239	0
NGEEOFDF_00240	K01058
NGEEOFDF_00241	0
NGEEOFDF_00242	0
NGEEOFDF_00245	0
NGEEOFDF_00246	K11206
NGEEOFDF_00247	0
NGEEOFDF_00248	K06445
NGEEOFDF_00249	K03271
NGEEOFDF_00250	0
NGEEOFDF_00251	0
NGEEOFDF_00252	K07473
NGEEOFDF_00253	K01183
NGEEOFDF_00254	K07491
NGEEOFDF_00255	K02400
NGEEOFDF_00256	K02557
NGEEOFDF_00257	K02346
NGEEOFDF_00258	K19161
NGEEOFDF_00259	K19160
NGEEOFDF_00260	K03830
NGEEOFDF_00261	K14415
NGEEOFDF_00262	K02839
NGEEOFDF_00263	K01270
NGEEOFDF_00264	K00769
NGEEOFDF_00265	K11750
NGEEOFDF_00266	K11926
NGEEOFDF_00267	K09475
NGEEOFDF_00268	K00931
NGEEOFDF_00269	K00147
NGEEOFDF_00271	0
NGEEOFDF_00272	0
NGEEOFDF_00273	0
NGEEOFDF_00274	0
NGEEOFDF_00275	0
NGEEOFDF_00276	0
NGEEOFDF_00277	0
NGEEOFDF_00278	0
NGEEOFDF_00279	0
NGEEOFDF_00280	0
NGEEOFDF_00281	0
NGEEOFDF_00282	0
NGEEOFDF_00283	K14060
NGEEOFDF_00284	K09968
NGEEOFDF_00285	K03755
NGEEOFDF_00286	K07497
NGEEOFDF_00287	0
NGEEOFDF_00288	0
NGEEOFDF_00289	0
NGEEOFDF_00290	0
NGEEOFDF_00291	0
NGEEOFDF_00292	0
NGEEOFDF_00293	K07459
NGEEOFDF_00294	0
NGEEOFDF_00295	0
NGEEOFDF_00296	0
NGEEOFDF_00297	K07733
NGEEOFDF_00298	0
NGEEOFDF_00299	0
NGEEOFDF_00300	0
NGEEOFDF_00301	K06919
NGEEOFDF_00302	0
NGEEOFDF_00303	0
NGEEOFDF_00304	0
NGEEOFDF_00305	0
NGEEOFDF_00306	0
NGEEOFDF_00307	K06889
NGEEOFDF_00308	K03445
NGEEOFDF_00309	K07402
NGEEOFDF_00310	K11177
NGEEOFDF_00311	K11178
NGEEOFDF_00312	K13483
NGEEOFDF_00313	K08996
NGEEOFDF_00314	K21968
NGEEOFDF_00315	K21967
NGEEOFDF_00316	K21966
NGEEOFDF_00317	K21965
NGEEOFDF_00318	K21964
NGEEOFDF_00319	K21963
NGEEOFDF_00321	K02919
NGEEOFDF_00322	K02909
NGEEOFDF_00323	K07483
NGEEOFDF_00324	K07484
NGEEOFDF_00325	K07484
NGEEOFDF_00326	0
NGEEOFDF_00327	K06889
NGEEOFDF_00328	0
NGEEOFDF_00329	0
NGEEOFDF_00330	K06221
NGEEOFDF_00331	K13735
NGEEOFDF_00332	0
NGEEOFDF_00333	K06221
NGEEOFDF_00334	K21741
NGEEOFDF_00335	K21739
NGEEOFDF_00336	K18991
NGEEOFDF_00337	K18928
NGEEOFDF_00338	K18929
NGEEOFDF_00339	K00782
NGEEOFDF_00340	0
NGEEOFDF_00341	0
NGEEOFDF_00342	0
NGEEOFDF_00343	0
NGEEOFDF_00345	K16328
NGEEOFDF_00348	K00108
NGEEOFDF_00349	K00130
NGEEOFDF_00350	K02167
NGEEOFDF_00351	K02168
NGEEOFDF_00352	K12678
NGEEOFDF_00353	K13244
NGEEOFDF_00354	0
NGEEOFDF_00355	0
NGEEOFDF_00356	0
NGEEOFDF_00357	K06867
NGEEOFDF_00358	0
NGEEOFDF_00359	0
NGEEOFDF_00360	0
NGEEOFDF_00361	0
NGEEOFDF_00362	K00926
NGEEOFDF_00363	K01485
NGEEOFDF_00364	0
NGEEOFDF_00365	K02058
NGEEOFDF_00366	K02056
NGEEOFDF_00367	K02056
NGEEOFDF_00368	K02057
NGEEOFDF_00369	K02057
NGEEOFDF_00370	K13979
NGEEOFDF_00373	K03329
NGEEOFDF_00374	0
NGEEOFDF_00375	K02688
NGEEOFDF_00376	K03417
NGEEOFDF_00377	K01659
NGEEOFDF_00378	K01720
NGEEOFDF_00379	K01908
NGEEOFDF_00380	K10974
NGEEOFDF_00381	K01485
NGEEOFDF_00382	K11921
NGEEOFDF_00383	K01673
NGEEOFDF_00384	K01725
NGEEOFDF_00385	K03449
NGEEOFDF_00386	K00633
NGEEOFDF_00387	K02532
NGEEOFDF_00388	K01190
NGEEOFDF_00389	K02529
NGEEOFDF_00390	0
NGEEOFDF_00391	0
NGEEOFDF_00392	K05818
NGEEOFDF_00393	K05712
NGEEOFDF_00394	K04099
NGEEOFDF_00395	K05714
NGEEOFDF_00396	K02554
NGEEOFDF_00397	K04073
NGEEOFDF_00398	K01649
NGEEOFDF_00399	K05819
NGEEOFDF_00400	K09912
NGEEOFDF_00401	K01070
NGEEOFDF_00402	K00121
NGEEOFDF_00403	0
NGEEOFDF_00404	K02010
NGEEOFDF_00405	K02011
NGEEOFDF_00406	K02012
NGEEOFDF_00407	K07783
NGEEOFDF_00408	K07675
NGEEOFDF_00409	K07686
NGEEOFDF_00410	K15551
NGEEOFDF_00411	K10831
NGEEOFDF_00412	K15552
NGEEOFDF_00413	K03119
NGEEOFDF_00414	K01698
NGEEOFDF_00415	0
NGEEOFDF_00416	0
NGEEOFDF_00417	K18988
NGEEOFDF_00418	K17938
NGEEOFDF_00419	0
NGEEOFDF_00420	0
NGEEOFDF_00421	0
NGEEOFDF_00422	K01921
NGEEOFDF_00423	0
NGEEOFDF_00424	K01077
NGEEOFDF_00425	0
NGEEOFDF_00426	K18968
NGEEOFDF_00427	K00286
NGEEOFDF_00428	K09768
NGEEOFDF_00429	K00891
NGEEOFDF_00430	0
NGEEOFDF_00431	K14591
NGEEOFDF_00432	K09913
NGEEOFDF_00433	0
NGEEOFDF_00434	0
NGEEOFDF_00435	K03554
NGEEOFDF_00436	K00845
NGEEOFDF_00437	K08156
NGEEOFDF_00438	K03546
NGEEOFDF_00439	K03547
NGEEOFDF_00440	K07657
NGEEOFDF_00441	K07636
NGEEOFDF_00442	K03311
NGEEOFDF_00443	K03293
NGEEOFDF_00444	K01187
NGEEOFDF_00446	K08682
NGEEOFDF_00447	K07568
NGEEOFDF_00448	K00773
NGEEOFDF_00449	K03210
NGEEOFDF_00450	K03072
NGEEOFDF_00451	K03074
NGEEOFDF_00452	K07746
NGEEOFDF_00453	K19092
NGEEOFDF_00454	0
NGEEOFDF_00455	K05517
NGEEOFDF_00456	0
NGEEOFDF_00457	K07738
NGEEOFDF_00458	K01498
NGEEOFDF_00459	K00794
NGEEOFDF_00460	K03625
NGEEOFDF_00461	K00946
NGEEOFDF_00462	K01095
NGEEOFDF_00463	0
NGEEOFDF_00464	0
NGEEOFDF_00465	K01662
NGEEOFDF_00466	K00795
NGEEOFDF_00467	K03602
NGEEOFDF_00468	K03151
NGEEOFDF_00469	K03152
NGEEOFDF_00470	K00077
NGEEOFDF_00471	K09767
NGEEOFDF_00472	0
NGEEOFDF_00473	K02257
NGEEOFDF_00474	K02300
NGEEOFDF_00475	K02299
NGEEOFDF_00476	K02298
NGEEOFDF_00477	K02297
NGEEOFDF_00478	K08218
NGEEOFDF_00479	K07286
NGEEOFDF_00480	K05527
NGEEOFDF_00481	K03545
NGEEOFDF_00482	K01358
NGEEOFDF_00483	K03544
NGEEOFDF_00484	K01338
NGEEOFDF_00485	K03530
NGEEOFDF_00486	K03770
NGEEOFDF_00487	K02237
NGEEOFDF_00488	K12500
NGEEOFDF_00489	K06920
NGEEOFDF_00490	0
NGEEOFDF_00491	K11938
NGEEOFDF_00492	K05800
NGEEOFDF_00493	K06147
NGEEOFDF_00494	K18104
NGEEOFDF_00495	K04752
NGEEOFDF_00496	K03320
NGEEOFDF_00497	K10805
NGEEOFDF_00498	K09914
NGEEOFDF_00499	K07443
NGEEOFDF_00500	0
NGEEOFDF_00501	0
NGEEOFDF_00502	0
NGEEOFDF_00503	K00661
NGEEOFDF_00504	K05839
NGEEOFDF_00505	K19162
NGEEOFDF_00506	K18138
NGEEOFDF_00507	K03585
NGEEOFDF_00508	K03577
NGEEOFDF_00509	K05802
NGEEOFDF_00510	0
NGEEOFDF_00511	K04067
NGEEOFDF_00512	K09790
NGEEOFDF_00513	K00759
NGEEOFDF_00514	K02343
NGEEOFDF_00515	K09747
NGEEOFDF_00516	K06187
NGEEOFDF_00517	K04079
NGEEOFDF_00518	K00939
NGEEOFDF_00519	K01772
NGEEOFDF_00520	K01066
NGEEOFDF_00521	K00847
NGEEOFDF_00522	K03455
NGEEOFDF_00523	K08223
NGEEOFDF_00525	K11751
NGEEOFDF_00526	K03976
NGEEOFDF_00527	K09973
NGEEOFDF_00528	K21498
NGEEOFDF_00529	K17686
NGEEOFDF_00530	K01425
NGEEOFDF_00531	0
NGEEOFDF_00532	K12340
NGEEOFDF_00533	0
NGEEOFDF_00534	K12549
NGEEOFDF_00535	K12541
NGEEOFDF_00536	K02022
NGEEOFDF_00537	K19591
NGEEOFDF_00538	0
NGEEOFDF_00539	0
NGEEOFDF_00540	0
NGEEOFDF_00541	0
NGEEOFDF_00542	K07340
NGEEOFDF_00543	0
NGEEOFDF_00544	K02068
NGEEOFDF_00545	K02069
NGEEOFDF_00546	K03671
NGEEOFDF_00547	0
NGEEOFDF_00548	K10804
NGEEOFDF_00549	K02003
NGEEOFDF_00550	K02004
NGEEOFDF_00551	0
NGEEOFDF_00552	0
NGEEOFDF_00553	0
NGEEOFDF_00554	K06917
NGEEOFDF_00555	K10972
NGEEOFDF_00556	K01483
NGEEOFDF_00557	K10973
NGEEOFDF_00558	K01608
NGEEOFDF_00559	K01816
NGEEOFDF_00560	K00042
NGEEOFDF_00561	K03457
NGEEOFDF_00562	K01466
NGEEOFDF_00563	K01466
NGEEOFDF_00564	0
NGEEOFDF_00565	K00865
NGEEOFDF_00566	K14977
NGEEOFDF_00567	K02083
NGEEOFDF_00568	K00073
NGEEOFDF_00569	K02381
NGEEOFDF_00570	0
NGEEOFDF_00571	0
NGEEOFDF_00572	K00926
NGEEOFDF_00573	K01589
NGEEOFDF_00574	K01588
NGEEOFDF_00575	K03269
NGEEOFDF_00576	K03768
NGEEOFDF_00577	K01883
NGEEOFDF_00578	K07038
NGEEOFDF_00579	K14761
NGEEOFDF_00580	K01491
NGEEOFDF_00581	K07345
NGEEOFDF_00582	K07346
NGEEOFDF_00583	K07347
NGEEOFDF_00584	K07350
NGEEOFDF_00585	K07345
NGEEOFDF_00586	K07688
NGEEOFDF_00588	K03755
NGEEOFDF_00589	0
NGEEOFDF_00590	K11739
NGEEOFDF_00591	K11740
NGEEOFDF_00592	0
NGEEOFDF_00594	0
NGEEOFDF_00596	0
NGEEOFDF_00597	0
NGEEOFDF_00598	K11904
NGEEOFDF_00599	K07636
NGEEOFDF_00600	K02483
NGEEOFDF_00601	K07796
NGEEOFDF_00602	K07810
NGEEOFDF_00603	K07798
NGEEOFDF_00604	K07787
NGEEOFDF_00605	K03293
NGEEOFDF_00606	K16053
NGEEOFDF_00607	K10679
NGEEOFDF_00608	0
NGEEOFDF_00609	0
NGEEOFDF_00610	K06048
NGEEOFDF_00611	K18922
NGEEOFDF_00612	K18922
NGEEOFDF_00613	K02362
NGEEOFDF_00614	K16089
NGEEOFDF_00615	K07214
NGEEOFDF_00616	K05375
NGEEOFDF_00617	K02364
NGEEOFDF_00618	0
NGEEOFDF_00619	K02013
NGEEOFDF_00620	K02015
NGEEOFDF_00621	K02015
NGEEOFDF_00622	K08225
NGEEOFDF_00623	K02016
NGEEOFDF_00624	K01851
NGEEOFDF_00625	K02363
NGEEOFDF_00626	K01252
NGEEOFDF_00627	K00216
NGEEOFDF_00628	K02614
NGEEOFDF_00629	K06200
NGEEOFDF_00630	0
NGEEOFDF_00631	K08317
NGEEOFDF_00632	K14287
NGEEOFDF_00633	0
NGEEOFDF_00634	0
NGEEOFDF_00635	0
NGEEOFDF_00636	K03805
NGEEOFDF_00637	K03386
NGEEOFDF_00638	K03387
NGEEOFDF_00639	K11932
NGEEOFDF_00640	0
NGEEOFDF_00642	K06140
NGEEOFDF_00643	K01166
NGEEOFDF_00644	K09477
NGEEOFDF_00645	K05966
NGEEOFDF_00646	K05964
NGEEOFDF_00647	K01643
NGEEOFDF_00648	K01644
NGEEOFDF_00649	K01646
NGEEOFDF_00650	K01910
NGEEOFDF_00651	K07700
NGEEOFDF_00652	K02475
NGEEOFDF_00653	K03326
NGEEOFDF_00654	K12973
NGEEOFDF_00655	K03704
NGEEOFDF_00656	K06199
NGEEOFDF_00657	K11206
NGEEOFDF_00658	K03425
NGEEOFDF_00659	K03644
NGEEOFDF_00660	0
NGEEOFDF_00661	K03801
NGEEOFDF_00662	K09158
NGEEOFDF_00663	K07258
NGEEOFDF_00664	K03642
NGEEOFDF_00665	K05837
NGEEOFDF_00666	K05515
NGEEOFDF_00667	K00783
NGEEOFDF_00668	K09710
NGEEOFDF_00669	K02226
NGEEOFDF_00670	K00969
NGEEOFDF_00671	K02340
NGEEOFDF_00672	K03643
NGEEOFDF_00673	K01869
NGEEOFDF_00674	0
NGEEOFDF_00675	K07126
NGEEOFDF_00676	K07126
NGEEOFDF_00677	0
NGEEOFDF_00678	0
NGEEOFDF_00679	K07126
NGEEOFDF_00680	0
NGEEOFDF_00681	0
NGEEOFDF_00682	0
NGEEOFDF_00683	K04045
NGEEOFDF_00684	K01239
NGEEOFDF_00685	K02028
NGEEOFDF_00686	K10002
NGEEOFDF_00687	K02029
NGEEOFDF_00688	K10001
NGEEOFDF_00689	K03820
NGEEOFDF_00690	K06189
NGEEOFDF_00691	K07042
NGEEOFDF_00692	K06217
NGEEOFDF_00693	K06168
NGEEOFDF_00694	K03184
NGEEOFDF_00702	K01953
NGEEOFDF_00703	K01101
NGEEOFDF_00704	K00845
NGEEOFDF_00705	K01443
NGEEOFDF_00706	K02564
NGEEOFDF_00707	K02802
NGEEOFDF_00708	K01886
NGEEOFDF_00709	0
NGEEOFDF_00710	0
NGEEOFDF_00711	0
NGEEOFDF_00712	K03711
NGEEOFDF_00713	K03839
NGEEOFDF_00714	0
NGEEOFDF_00715	K01175
NGEEOFDF_00716	K03645
NGEEOFDF_00717	K01835
NGEEOFDF_00718	K03294
NGEEOFDF_00719	K01581
NGEEOFDF_00720	0
NGEEOFDF_00721	K07667
NGEEOFDF_00722	K07646
NGEEOFDF_00723	K01548
NGEEOFDF_00724	K01547
NGEEOFDF_00725	K01546
NGEEOFDF_00726	0
NGEEOFDF_00727	0
NGEEOFDF_00728	0
NGEEOFDF_00729	0
NGEEOFDF_00730	0
NGEEOFDF_00731	K01669
NGEEOFDF_00732	K03305
NGEEOFDF_00733	0
NGEEOFDF_00734	0
NGEEOFDF_00735	K01457
NGEEOFDF_00736	K07160
NGEEOFDF_00737	K05522
NGEEOFDF_00738	K07120
NGEEOFDF_00739	0
NGEEOFDF_00740	0
NGEEOFDF_00741	0
NGEEOFDF_00742	0
NGEEOFDF_00743	0
NGEEOFDF_00744	K01647
NGEEOFDF_00746	K00241
NGEEOFDF_00747	K00242
NGEEOFDF_00748	K00239
NGEEOFDF_00749	K00240
NGEEOFDF_00750	K00164
NGEEOFDF_00751	K00658
NGEEOFDF_00752	K01903
NGEEOFDF_00753	K01902
NGEEOFDF_00754	0
NGEEOFDF_00755	K19221
NGEEOFDF_00756	K01676
NGEEOFDF_00757	0
NGEEOFDF_00758	0
NGEEOFDF_00759	0
NGEEOFDF_00760	K04835
NGEEOFDF_00761	K19268
NGEEOFDF_00762	0
NGEEOFDF_00763	K01846
NGEEOFDF_00766	K00425
NGEEOFDF_00767	K00426
NGEEOFDF_00768	K00424
NGEEOFDF_00769	0
NGEEOFDF_00770	K01075
NGEEOFDF_00771	K03562
NGEEOFDF_00772	K03560
NGEEOFDF_00773	K03646
NGEEOFDF_00774	K03641
NGEEOFDF_00775	K03640
NGEEOFDF_00776	0
NGEEOFDF_00783	K03517
NGEEOFDF_00784	K03811
NGEEOFDF_00785	K16264
NGEEOFDF_00786	0
NGEEOFDF_00787	K01626
NGEEOFDF_00788	K01834
NGEEOFDF_00789	K01785
NGEEOFDF_00790	K00849
NGEEOFDF_00791	K00965
NGEEOFDF_00792	K01784
NGEEOFDF_00793	K02013
NGEEOFDF_00794	K02019
NGEEOFDF_00795	0
NGEEOFDF_00796	K02020
NGEEOFDF_00797	K02018
NGEEOFDF_00798	K02017
NGEEOFDF_00799	0
NGEEOFDF_00800	K07404
NGEEOFDF_00801	0
NGEEOFDF_00802	0
NGEEOFDF_00803	K03319
NGEEOFDF_00804	K01681
NGEEOFDF_00805	K01051
NGEEOFDF_00806	K21039
NGEEOFDF_00807	0
NGEEOFDF_00808	0
NGEEOFDF_00809	0
NGEEOFDF_00810	0
NGEEOFDF_00811	0
NGEEOFDF_00812	0
NGEEOFDF_00813	K01143
NGEEOFDF_00814	0
NGEEOFDF_00815	0
NGEEOFDF_00816	K07313
NGEEOFDF_00817	K09953
NGEEOFDF_00818	0
NGEEOFDF_00819	0
NGEEOFDF_00821	0
NGEEOFDF_00822	K01185
NGEEOFDF_00823	K14744
NGEEOFDF_00824	0
NGEEOFDF_00825	0
NGEEOFDF_00826	0
NGEEOFDF_00827	0
NGEEOFDF_00828	0
NGEEOFDF_00829	0
NGEEOFDF_00830	0
NGEEOFDF_00831	0
NGEEOFDF_00832	0
NGEEOFDF_00833	0
NGEEOFDF_00834	0
NGEEOFDF_00835	0
NGEEOFDF_00836	0
NGEEOFDF_00837	0
NGEEOFDF_00838	0
NGEEOFDF_00839	0
NGEEOFDF_00840	0
NGEEOFDF_00841	0
NGEEOFDF_00842	0
NGEEOFDF_00843	0
NGEEOFDF_00844	0
NGEEOFDF_00845	0
NGEEOFDF_00846	0
NGEEOFDF_00847	0
NGEEOFDF_00848	0
NGEEOFDF_00849	K16042
NGEEOFDF_00850	0
NGEEOFDF_00851	0
NGEEOFDF_00852	K06910
NGEEOFDF_00853	K00833
NGEEOFDF_00854	K01012
NGEEOFDF_00855	K00652
NGEEOFDF_00856	K02169
NGEEOFDF_00857	K01935
NGEEOFDF_00858	K03702
NGEEOFDF_00859	0
NGEEOFDF_00860	K03639
NGEEOFDF_00861	K03638
NGEEOFDF_00862	K03637
NGEEOFDF_00863	K03636
NGEEOFDF_00864	K03635
NGEEOFDF_00865	K06890
NGEEOFDF_00866	K06890
NGEEOFDF_00867	K07027
NGEEOFDF_00868	K06131
NGEEOFDF_00869	0
NGEEOFDF_00870	0
NGEEOFDF_00871	K01992
NGEEOFDF_00872	K01992
NGEEOFDF_00873	K01990
NGEEOFDF_00874	K01993
NGEEOFDF_00875	0
NGEEOFDF_00876	K11927
NGEEOFDF_00877	K03722
NGEEOFDF_00878	K03722
NGEEOFDF_00879	0
NGEEOFDF_00880	K13574
NGEEOFDF_00881	K12151
NGEEOFDF_00882	0
NGEEOFDF_00883	K07336
NGEEOFDF_00884	K16090
NGEEOFDF_00885	K13650
NGEEOFDF_00886	K06970
NGEEOFDF_00887	K22044
NGEEOFDF_00888	K02028
NGEEOFDF_00889	K10037
NGEEOFDF_00890	K02030
NGEEOFDF_00891	K04047
NGEEOFDF_00892	K11939
NGEEOFDF_00893	K11934
NGEEOFDF_00894	K19353
NGEEOFDF_00895	0
NGEEOFDF_00896	K11924
NGEEOFDF_00897	0
NGEEOFDF_00898	K16291
NGEEOFDF_00899	0
NGEEOFDF_00900	0
NGEEOFDF_00901	K07757
NGEEOFDF_00902	K00656
NGEEOFDF_00903	K00656
NGEEOFDF_00904	K04069
NGEEOFDF_00905	K08313
NGEEOFDF_00906	K03148
NGEEOFDF_00907	K03750
NGEEOFDF_00908	K01424
NGEEOFDF_00909	K01424
NGEEOFDF_00910	K02031
NGEEOFDF_00911	K13889
NGEEOFDF_00912	K13890
NGEEOFDF_00913	K13891
NGEEOFDF_00914	0
NGEEOFDF_00915	0
NGEEOFDF_00916	K07726
NGEEOFDF_00917	0
NGEEOFDF_00918	K14441
NGEEOFDF_00919	K19688
NGEEOFDF_00920	K21430
NGEEOFDF_00921	K00799
NGEEOFDF_00922	K07258
NGEEOFDF_00923	K11534
NGEEOFDF_00924	K19302
NGEEOFDF_00925	K08160
NGEEOFDF_00926	0
NGEEOFDF_00927	K07757
NGEEOFDF_00928	0
NGEEOFDF_00929	0
NGEEOFDF_00930	K07085
NGEEOFDF_00931	0
NGEEOFDF_00932	K03674
NGEEOFDF_00933	0
NGEEOFDF_00934	K10678
NGEEOFDF_00935	K05844
NGEEOFDF_00936	0
NGEEOFDF_00937	K11073
NGEEOFDF_00938	K02052
NGEEOFDF_00939	K11075
NGEEOFDF_00940	K11070
NGEEOFDF_00941	0
NGEEOFDF_00942	K03212
NGEEOFDF_00943	K03475
NGEEOFDF_00944	K02822
NGEEOFDF_00945	0
NGEEOFDF_00946	K09996
NGEEOFDF_00948	K09998
NGEEOFDF_00949	K09999
NGEEOFDF_00950	K09996
