ANPAHHCN_00002	K02827
ANPAHHCN_00101	K01755
ANPAHHCN_00102	K01113
ANPAHHCN_00103	K00260
ANPAHHCN_00104	K00819
ANPAHHCN_00105	-
ANPAHHCN_00106	K07570
ANPAHHCN_00107	K03767
ANPAHHCN_00108	K06347
ANPAHHCN_00109	K05565
ANPAHHCN_00110	K05566
ANPAHHCN_00111	K05567
ANPAHHCN_00112	K05568
ANPAHHCN_00113	K05569
ANPAHHCN_00114	K05570
ANPAHHCN_00115	K05571
ANPAHHCN_00116	-
ANPAHHCN_00117	-
ANPAHHCN_00118	K07084
ANPAHHCN_00119	K01255
ANPAHHCN_00120	K03885
ANPAHHCN_00121	K13628
ANPAHHCN_00122	-
ANPAHHCN_00123	K03885
ANPAHHCN_00124	-
ANPAHHCN_00125	-
ANPAHHCN_00126	K03740
ANPAHHCN_00127	K14188
ANPAHHCN_00128	K03739
ANPAHHCN_00129	K03367
ANPAHHCN_00130	-
ANPAHHCN_00131	K00015
ANPAHHCN_00132	K01101
ANPAHHCN_00133	-
ANPAHHCN_00134	-
ANPAHHCN_00135	-
ANPAHHCN_00136	K03644
ANPAHHCN_00137	K01081
ANPAHHCN_00138	K07090
ANPAHHCN_00139	-
ANPAHHCN_00140	K00459
ANPAHHCN_00141	-
ANPAHHCN_00142	-
ANPAHHCN_00143	-
ANPAHHCN_00147	-
ANPAHHCN_00148	-
ANPAHHCN_00150	-
ANPAHHCN_00151	K01227
ANPAHHCN_00152	-
ANPAHHCN_00153	-
ANPAHHCN_00155	-
ANPAHHCN_00156	-
ANPAHHCN_00157	-
ANPAHHCN_00158	-
ANPAHHCN_00159	-
ANPAHHCN_00160	-
ANPAHHCN_00161	-
ANPAHHCN_00163	-
ANPAHHCN_00164	-
ANPAHHCN_00165	-
ANPAHHCN_00166	-
ANPAHHCN_00167	-
ANPAHHCN_00168	-
ANPAHHCN_00169	-
ANPAHHCN_00171	-
ANPAHHCN_00172	-
ANPAHHCN_00173	-
ANPAHHCN_00174	-
ANPAHHCN_00175	-
ANPAHHCN_00177	-
ANPAHHCN_00180	-
ANPAHHCN_00181	-
ANPAHHCN_00183	-
ANPAHHCN_00184	-
ANPAHHCN_00185	-
ANPAHHCN_00186	-
ANPAHHCN_00188	-
ANPAHHCN_00189	-
ANPAHHCN_00190	-
ANPAHHCN_00191	-
ANPAHHCN_00192	-
ANPAHHCN_00193	-
ANPAHHCN_00194	-
ANPAHHCN_00196	-
ANPAHHCN_00197	K03111
ANPAHHCN_00198	-
ANPAHHCN_00199	-
ANPAHHCN_00200	-
ANPAHHCN_00202	-
ANPAHHCN_00203	-
ANPAHHCN_00204	-
ANPAHHCN_00205	-
ANPAHHCN_00206	-
ANPAHHCN_00207	-
ANPAHHCN_00208	-
ANPAHHCN_00209	-
ANPAHHCN_00212	-
ANPAHHCN_00213	K07033
ANPAHHCN_00214	K04488
ANPAHHCN_00215	K11717
ANPAHHCN_00216	K07033
ANPAHHCN_00217	K09013
ANPAHHCN_00218	K08974
ANPAHHCN_00219	-
ANPAHHCN_00220	K02072
ANPAHHCN_00221	K02069
ANPAHHCN_00222	K02071
ANPAHHCN_00223	-
ANPAHHCN_00224	K07476
ANPAHHCN_00225	-
ANPAHHCN_00227	K02437
ANPAHHCN_00228	K00537
ANPAHHCN_00229	-
ANPAHHCN_00230	-
ANPAHHCN_00231	K03785
ANPAHHCN_00232	-
ANPAHHCN_00233	-
ANPAHHCN_00234	K06895
ANPAHHCN_00235	-
ANPAHHCN_00236	-
ANPAHHCN_00237	-
ANPAHHCN_00238	-
ANPAHHCN_00239	-
ANPAHHCN_00240	-
ANPAHHCN_00241	-
ANPAHHCN_00242	-
ANPAHHCN_00243	K03704
ANPAHHCN_00244	K01174
ANPAHHCN_00245	-
ANPAHHCN_00247	-
ANPAHHCN_00248	K13733
ANPAHHCN_00249	-
ANPAHHCN_00250	-
ANPAHHCN_00251	-
ANPAHHCN_00252	-
ANPAHHCN_00254	K03664
ANPAHHCN_00255	K12573
ANPAHHCN_00256	K03928
ANPAHHCN_00257	K03075
ANPAHHCN_00258	-
ANPAHHCN_00259	K01689
ANPAHHCN_00260	K15633
ANPAHHCN_00261	K01803
ANPAHHCN_00262	K00927
ANPAHHCN_00263	K00134
ANPAHHCN_00264	K05311
ANPAHHCN_00265	-
ANPAHHCN_00266	K07071
ANPAHHCN_00267	K01358
ANPAHHCN_00269	K09762
ANPAHHCN_00270	-
ANPAHHCN_00271	K06958
ANPAHHCN_00272	K00384
ANPAHHCN_00273	-
ANPAHHCN_00274	K00661
ANPAHHCN_00275	K13292
ANPAHHCN_00276	K06023
ANPAHHCN_00277	K03701
ANPAHHCN_00278	K03702
ANPAHHCN_00279	-
ANPAHHCN_00280	K07023
ANPAHHCN_00281	K07023
ANPAHHCN_00282	K22409
ANPAHHCN_00283	K02836
ANPAHHCN_00284	K03070
ANPAHHCN_00285	K05808
ANPAHHCN_00286	K02242
ANPAHHCN_00287	K02240
ANPAHHCN_00288	-
ANPAHHCN_00289	K01271
ANPAHHCN_00290	K02851
ANPAHHCN_00291	-
ANPAHHCN_00292	-
ANPAHHCN_00293	-
ANPAHHCN_00294	K01258
ANPAHHCN_00295	K00865
ANPAHHCN_00296	-
ANPAHHCN_00297	-
ANPAHHCN_00298	-
ANPAHHCN_00299	K00075
ANPAHHCN_00300	-
ANPAHHCN_00301	K02016
ANPAHHCN_00302	K02013
ANPAHHCN_00303	K02015
ANPAHHCN_00304	K02015
ANPAHHCN_00305	K00526
ANPAHHCN_00306	K00525
ANPAHHCN_00307	K03647
ANPAHHCN_00308	-
ANPAHHCN_00309	-
ANPAHHCN_00310	K03305
ANPAHHCN_00311	-
ANPAHHCN_00312	-
ANPAHHCN_00313	K00817
ANPAHHCN_00314	K05845
ANPAHHCN_00315	K05847
ANPAHHCN_00316	K03654
ANPAHHCN_00317	K15738
ANPAHHCN_00318	K19005
ANPAHHCN_00319	-
ANPAHHCN_00320	K06351
ANPAHHCN_00321	K02619
ANPAHHCN_00322	K01665
ANPAHHCN_00323	K01658
ANPAHHCN_00324	K06920
ANPAHHCN_00325	K01737
ANPAHHCN_00326	K10026
ANPAHHCN_00327	-
ANPAHHCN_00328	-
ANPAHHCN_00329	K16937
ANPAHHCN_00330	K10682
ANPAHHCN_00331	K10681
ANPAHHCN_00332	K20534
ANPAHHCN_00333	-
ANPAHHCN_00334	-
ANPAHHCN_00335	K01443
ANPAHHCN_00336	K02768
ANPAHHCN_00337	K00882
ANPAHHCN_00338	K03436
ANPAHHCN_00339	K03976
ANPAHHCN_00340	-
ANPAHHCN_00341	K19576
ANPAHHCN_00342	K06934
ANPAHHCN_00343	-
ANPAHHCN_00344	-
ANPAHHCN_00345	K01669
ANPAHHCN_00346	K03319
ANPAHHCN_00347	-
ANPAHHCN_00348	-
ANPAHHCN_00349	-
ANPAHHCN_00350	K18906
ANPAHHCN_00351	K16012
ANPAHHCN_00352	K06148
ANPAHHCN_00353	K06153
ANPAHHCN_00354	-
ANPAHHCN_00355	K09768
ANPAHHCN_00356	K06966
ANPAHHCN_00357	-
ANPAHHCN_00358	-
ANPAHHCN_00359	-
ANPAHHCN_00360	-
ANPAHHCN_00361	-
ANPAHHCN_00362	K09793
ANPAHHCN_00363	-
ANPAHHCN_00364	-
ANPAHHCN_00365	K09145
ANPAHHCN_00366	K09705
ANPAHHCN_00367	-
ANPAHHCN_00368	-
ANPAHHCN_00369	-
ANPAHHCN_00370	K06890
ANPAHHCN_00371	-
ANPAHHCN_00372	K03306
ANPAHHCN_00373	K07220
ANPAHHCN_00374	K11632
ANPAHHCN_00375	K02003
ANPAHHCN_00376	K11629
ANPAHHCN_00377	K11630
ANPAHHCN_00378	-
ANPAHHCN_00379	-
ANPAHHCN_00380	-
ANPAHHCN_00381	-
ANPAHHCN_00382	-
ANPAHHCN_00383	-
ANPAHHCN_00384	K05881
ANPAHHCN_00385	K05879
ANPAHHCN_00386	K00863
ANPAHHCN_00387	K02015
ANPAHHCN_00388	K02015
ANPAHHCN_00389	K02013
ANPAHHCN_00390	-
ANPAHHCN_00391	K03317
ANPAHHCN_00392	K02021
ANPAHHCN_00393	K07258
ANPAHHCN_00394	K00968
ANPAHHCN_00395	-
ANPAHHCN_00396	K21285
ANPAHHCN_00397	K09692
ANPAHHCN_00398	K09693
ANPAHHCN_00399	K05946
ANPAHHCN_00400	-
ANPAHHCN_00401	K03709
ANPAHHCN_00402	K02074
ANPAHHCN_00403	K11705
ANPAHHCN_00404	K11704
ANPAHHCN_00405	K03316
ANPAHHCN_00406	K05571
ANPAHHCN_00407	K05570
ANPAHHCN_00408	K05569
ANPAHHCN_00409	K05568
ANPAHHCN_00410	K05567
ANPAHHCN_00411	K05566
ANPAHHCN_00412	K00341
ANPAHHCN_00413	-
ANPAHHCN_00414	-
ANPAHHCN_00415	-
ANPAHHCN_00416	K09936
ANPAHHCN_00417	-
ANPAHHCN_00418	-
ANPAHHCN_00419	-
ANPAHHCN_00420	-
ANPAHHCN_00421	-
ANPAHHCN_00422	K07025
ANPAHHCN_00423	K02015
ANPAHHCN_00424	K02016
ANPAHHCN_00425	K07457
ANPAHHCN_00426	K01887
ANPAHHCN_00427	-
ANPAHHCN_00429	K00001
ANPAHHCN_00430	-
ANPAHHCN_00431	K06885
ANPAHHCN_00432	-
ANPAHHCN_00433	-
ANPAHHCN_00434	K06607
ANPAHHCN_00435	-
ANPAHHCN_00436	-
ANPAHHCN_00437	-
ANPAHHCN_00438	-
ANPAHHCN_00439	-
ANPAHHCN_00440	-
ANPAHHCN_00441	-
ANPAHHCN_00442	-
ANPAHHCN_00443	-
ANPAHHCN_00444	-
ANPAHHCN_00445	-
ANPAHHCN_00446	-
ANPAHHCN_00447	K21493
ANPAHHCN_00448	-
ANPAHHCN_00449	-
ANPAHHCN_00450	-
ANPAHHCN_00451	K00938
ANPAHHCN_00452	K01597
ANPAHHCN_00453	K00869
ANPAHHCN_00454	K16869
ANPAHHCN_00455	K00625
ANPAHHCN_00456	K00435
ANPAHHCN_00457	-
ANPAHHCN_00458	-
ANPAHHCN_00459	-
ANPAHHCN_00460	-
ANPAHHCN_00461	-
ANPAHHCN_00462	K03648
ANPAHHCN_00463	K00868
ANPAHHCN_00464	-
ANPAHHCN_00465	-
ANPAHHCN_00466	-
ANPAHHCN_00467	K00626
ANPAHHCN_00468	K01897
ANPAHHCN_00469	K03761
ANPAHHCN_00470	K01091
ANPAHHCN_00471	K08094
ANPAHHCN_00472	K08093
ANPAHHCN_00473	K02564
ANPAHHCN_00474	-
ANPAHHCN_00475	K22135
ANPAHHCN_00476	K09007
ANPAHHCN_00477	K00712
ANPAHHCN_00478	K00712
ANPAHHCN_00479	K14192
ANPAHHCN_00480	K14194
ANPAHHCN_00481	K14194
ANPAHHCN_00482	K03206
ANPAHHCN_00483	-
ANPAHHCN_00484	K11991
ANPAHHCN_00485	K15518
ANPAHHCN_00486	K15519
ANPAHHCN_00487	K01091
ANPAHHCN_00488	K00826
ANPAHHCN_00489	-
ANPAHHCN_00490	K00853
ANPAHHCN_00491	K05523
ANPAHHCN_00492	K00639
ANPAHHCN_00493	-
ANPAHHCN_00494	K02358
ANPAHHCN_00495	K02355
ANPAHHCN_00496	K02992
ANPAHHCN_00497	K02950
ANPAHHCN_00498	K07590
ANPAHHCN_00499	K03046
ANPAHHCN_00500	K03043
ANPAHHCN_00501	K00564
ANPAHHCN_00502	K02935
ANPAHHCN_00503	K02864
ANPAHHCN_00504	K02863
ANPAHHCN_00505	K02867
ANPAHHCN_00506	K02601
ANPAHHCN_00507	K03073
ANPAHHCN_00508	K03088
ANPAHHCN_00509	K06962
ANPAHHCN_00510	K03218
ANPAHHCN_00511	K11145
ANPAHHCN_00512	K01883
ANPAHHCN_00513	K00640
ANPAHHCN_00514	K09698
ANPAHHCN_00515	-
ANPAHHCN_00516	K04485
ANPAHHCN_00517	K03696
ANPAHHCN_00518	K19405
ANPAHHCN_00519	K19411
ANPAHHCN_00520	K03708
ANPAHHCN_00521	K03317
ANPAHHCN_00522	K08681
ANPAHHCN_00523	K06215
ANPAHHCN_00524	K00375
ANPAHHCN_00541	K04567
ANPAHHCN_00542	K00950
ANPAHHCN_00543	K01633
ANPAHHCN_00544	K00796
ANPAHHCN_00545	K01738
ANPAHHCN_00546	K04083
ANPAHHCN_00547	K03798
ANPAHHCN_00548	K00760
ANPAHHCN_00549	K04075
ANPAHHCN_00550	K07571
ANPAHHCN_00551	K13052
ANPAHHCN_00552	-
ANPAHHCN_00553	K02428
ANPAHHCN_00554	K03328
ANPAHHCN_00555	K03723
ANPAHHCN_00556	K01056
ANPAHHCN_00557	K02897
ANPAHHCN_00558	K00948
ANPAHHCN_00559	K04042
ANPAHHCN_00560	K06412
ANPAHHCN_00561	K09022
ANPAHHCN_00562	K09685
ANPAHHCN_00563	K00919
ANPAHHCN_00564	-
ANPAHHCN_00565	K02528
ANPAHHCN_00566	K05985
ANPAHHCN_00567	K03424
ANPAHHCN_00568	K01874
ANPAHHCN_00569	K07056
ANPAHHCN_00570	K07461
ANPAHHCN_00571	K07461
ANPAHHCN_00572	-
ANPAHHCN_00573	-
ANPAHHCN_00574	K02341
ANPAHHCN_00575	-
ANPAHHCN_00576	K00943
ANPAHHCN_00577	-
ANPAHHCN_00581	K06187
ANPAHHCN_00582	K09747
ANPAHHCN_00583	K02343
ANPAHHCN_00584	-
ANPAHHCN_00585	K03486
ANPAHHCN_00586	K01226
ANPAHHCN_00587	K02818
ANPAHHCN_00589	K00266
ANPAHHCN_00590	K00265
ANPAHHCN_00591	-
ANPAHHCN_00592	-
ANPAHHCN_00593	-
ANPAHHCN_00594	-
ANPAHHCN_00595	-
ANPAHHCN_00596	-
ANPAHHCN_00597	K22409
ANPAHHCN_00598	K02073
ANPAHHCN_00599	K02072
ANPAHHCN_00600	K02071
ANPAHHCN_00601	K01760
ANPAHHCN_00602	K01738
ANPAHHCN_00603	K03308
ANPAHHCN_00605	K03928
ANPAHHCN_00606	-
ANPAHHCN_00607	-
ANPAHHCN_00608	K09822
ANPAHHCN_00609	K05577
ANPAHHCN_00610	-
ANPAHHCN_00612	-
ANPAHHCN_00613	-
ANPAHHCN_00614	-
ANPAHHCN_00615	-
ANPAHHCN_00616	-
ANPAHHCN_00617	-
ANPAHHCN_00618	-
ANPAHHCN_00619	-
ANPAHHCN_00620	-
ANPAHHCN_00621	-
ANPAHHCN_00622	-
ANPAHHCN_00623	-
ANPAHHCN_00624	-
ANPAHHCN_00625	-
ANPAHHCN_00626	-
ANPAHHCN_00627	-
ANPAHHCN_00628	K01154
ANPAHHCN_00629	K03427
ANPAHHCN_00630	-
ANPAHHCN_00631	-
ANPAHHCN_00632	-
ANPAHHCN_00633	-
ANPAHHCN_00634	-
ANPAHHCN_00635	-
ANPAHHCN_00636	-
ANPAHHCN_00637	-
ANPAHHCN_00638	-
ANPAHHCN_00639	-
ANPAHHCN_00640	-
ANPAHHCN_00641	K08987
ANPAHHCN_00642	-
ANPAHHCN_00643	K07483
ANPAHHCN_00644	-
ANPAHHCN_00645	-
ANPAHHCN_00646	K01951
ANPAHHCN_00647	K00088
ANPAHHCN_00648	K03458
ANPAHHCN_00649	K03816
ANPAHHCN_00650	-
ANPAHHCN_00651	-
ANPAHHCN_00652	-
ANPAHHCN_00653	K06956
ANPAHHCN_00654	K19285
ANPAHHCN_00655	K03386
ANPAHHCN_00656	K03387
ANPAHHCN_00658	-
ANPAHHCN_00659	-
ANPAHHCN_00660	K01834
ANPAHHCN_00661	-
ANPAHHCN_00662	-
ANPAHHCN_00663	-
ANPAHHCN_00664	-
ANPAHHCN_00665	-
ANPAHHCN_00666	-
ANPAHHCN_00667	-
ANPAHHCN_00668	K02963
ANPAHHCN_00669	K03111
ANPAHHCN_00670	K02990
ANPAHHCN_00671	-
ANPAHHCN_00672	K06942
ANPAHHCN_00673	-
ANPAHHCN_00674	K22044
ANPAHHCN_00675	K03497
ANPAHHCN_00676	K01739
ANPAHHCN_00677	K01760
ANPAHHCN_00678	K00297
ANPAHHCN_00679	K00549
ANPAHHCN_00680	K07130
ANPAHHCN_00681	K00626
ANPAHHCN_00682	-
ANPAHHCN_00683	-
ANPAHHCN_00684	K01990
ANPAHHCN_00685	-
ANPAHHCN_00686	K07729
ANPAHHCN_00687	-
ANPAHHCN_00688	K03116
ANPAHHCN_00689	K03118
ANPAHHCN_00690	K07243
ANPAHHCN_00691	K07223
ANPAHHCN_00692	K07224
ANPAHHCN_00693	K03817
ANPAHHCN_00694	-
ANPAHHCN_00695	K00299
ANPAHHCN_00696	-
ANPAHHCN_00697	K15975
ANPAHHCN_00698	K02445
ANPAHHCN_00699	-
ANPAHHCN_00700	K18908
ANPAHHCN_00701	K18909
ANPAHHCN_00702	-
ANPAHHCN_00703	K02821
ANPAHHCN_00704	K02822
ANPAHHCN_00705	K03475
ANPAHHCN_00706	-
ANPAHHCN_00707	K03800
ANPAHHCN_00708	-
ANPAHHCN_00709	-
ANPAHHCN_00710	K02437
ANPAHHCN_00711	-
ANPAHHCN_00712	-
ANPAHHCN_00713	-
ANPAHHCN_00714	K01046
ANPAHHCN_00715	-
ANPAHHCN_00716	K01788
ANPAHHCN_00717	-
ANPAHHCN_00718	-
ANPAHHCN_00719	K01639
ANPAHHCN_00720	K03307
ANPAHHCN_00721	K11535
ANPAHHCN_00722	K16329
ANPAHHCN_00723	K16328
ANPAHHCN_00724	-
ANPAHHCN_00725	K02003
ANPAHHCN_00726	K02004
ANPAHHCN_00727	-
ANPAHHCN_00728	K03311
ANPAHHCN_00729	K02598
ANPAHHCN_00730	-
ANPAHHCN_00731	-
ANPAHHCN_00732	-
ANPAHHCN_00733	-
ANPAHHCN_00734	-
ANPAHHCN_00735	-
ANPAHHCN_00736	-
ANPAHHCN_00737	-
ANPAHHCN_00738	-
ANPAHHCN_00739	-
ANPAHHCN_00740	-
ANPAHHCN_00741	-
ANPAHHCN_00742	-
ANPAHHCN_00743	-
ANPAHHCN_00744	-
ANPAHHCN_00745	-
ANPAHHCN_00746	-
ANPAHHCN_00747	-
ANPAHHCN_00748	-
ANPAHHCN_00749	-
ANPAHHCN_00751	-
ANPAHHCN_00754	K03466
ANPAHHCN_00755	-
ANPAHHCN_00756	-
ANPAHHCN_00757	-
ANPAHHCN_00758	-
ANPAHHCN_00759	-
ANPAHHCN_00760	-
ANPAHHCN_00761	-
ANPAHHCN_00762	-
ANPAHHCN_00763	-
ANPAHHCN_00764	K01992
ANPAHHCN_00765	K01992
ANPAHHCN_00766	K01990
ANPAHHCN_00767	K08259
ANPAHHCN_00768	K01442
ANPAHHCN_00769	-
ANPAHHCN_00770	-
ANPAHHCN_00771	K02529
ANPAHHCN_00772	K06216
ANPAHHCN_00773	K06726
ANPAHHCN_00774	K00852
ANPAHHCN_00775	-
ANPAHHCN_00776	K01223
ANPAHHCN_00777	K02755
ANPAHHCN_00778	K03489
ANPAHHCN_00779	K05339
ANPAHHCN_00780	K05338
ANPAHHCN_00781	K07705
ANPAHHCN_00782	K07704
ANPAHHCN_00783	K07322
ANPAHHCN_00784	-
ANPAHHCN_00785	K18704
ANPAHHCN_00786	K05352
ANPAHHCN_00787	K00991
ANPAHHCN_00788	K09809
ANPAHHCN_00789	K18704
ANPAHHCN_00790	K05352
ANPAHHCN_00791	K00991
ANPAHHCN_00792	K00008
ANPAHHCN_00793	-
ANPAHHCN_00794	K00008
ANPAHHCN_00795	K02775
ANPAHHCN_00796	K02774
ANPAHHCN_00797	K02773
ANPAHHCN_00798	-
ANPAHHCN_00799	K01239
ANPAHHCN_00800	K02777
ANPAHHCN_00801	K00016
ANPAHHCN_00802	K05916
ANPAHHCN_00803	-
ANPAHHCN_00804	-
ANPAHHCN_00805	K02035
ANPAHHCN_00806	-
ANPAHHCN_00807	K01026
ANPAHHCN_00808	K01897
ANPAHHCN_00809	K00252
ANPAHHCN_00810	K07516
ANPAHHCN_00811	K00632
ANPAHHCN_00812	-
ANPAHHCN_00813	-
ANPAHHCN_00814	K01126
ANPAHHCN_00815	K04069
ANPAHHCN_00816	K00656
ANPAHHCN_00817	K02012
ANPAHHCN_00818	K07718
ANPAHHCN_00819	K07720
ANPAHHCN_00820	K02445
ANPAHHCN_00821	K16168
ANPAHHCN_00822	-
ANPAHHCN_00823	-
ANPAHHCN_00824	-
ANPAHHCN_00825	K15772
ANPAHHCN_00826	K15771
ANPAHHCN_00827	K02027
ANPAHHCN_00828	K10112
ANPAHHCN_00829	-
ANPAHHCN_00830	K01118
ANPAHHCN_00831	-
ANPAHHCN_00832	K00681
ANPAHHCN_00833	K02035
ANPAHHCN_00834	K02034
ANPAHHCN_00835	K02033
ANPAHHCN_00836	K02031
ANPAHHCN_00837	-
ANPAHHCN_00838	-
ANPAHHCN_00839	-
ANPAHHCN_00840	K01153
ANPAHHCN_00841	-
ANPAHHCN_00842	-
ANPAHHCN_00843	K02808
ANPAHHCN_00844	K07106
ANPAHHCN_00845	K09963
ANPAHHCN_00846	K02763
ANPAHHCN_00847	-
ANPAHHCN_00848	-
ANPAHHCN_00849	K03311
ANPAHHCN_00850	K00819
ANPAHHCN_00851	K00145
ANPAHHCN_00852	K00620
ANPAHHCN_00853	K00930
ANPAHHCN_00854	K08996
ANPAHHCN_00855	-
ANPAHHCN_00856	-
ANPAHHCN_00857	K08152
ANPAHHCN_00858	K00122
ANPAHHCN_00859	-
ANPAHHCN_00860	-
ANPAHHCN_00861	K02050
ANPAHHCN_00862	K02051
ANPAHHCN_00863	K02049
ANPAHHCN_00864	-
ANPAHHCN_00865	-
ANPAHHCN_00866	K16264
ANPAHHCN_00867	K00128
ANPAHHCN_00868	K09790
ANPAHHCN_00869	K07145
ANPAHHCN_00870	K01791
ANPAHHCN_00871	K02472
ANPAHHCN_00872	K01784
ANPAHHCN_00873	K13012
ANPAHHCN_00874	-
ANPAHHCN_00875	-
ANPAHHCN_00876	-
ANPAHHCN_00877	-
ANPAHHCN_00878	K00661
ANPAHHCN_00879	K01791
ANPAHHCN_00880	K19068
ANPAHHCN_00881	K17716
ANPAHHCN_00882	K19421
ANPAHHCN_00883	K01104
ANPAHHCN_00884	-
ANPAHHCN_00885	-
ANPAHHCN_00886	K04072
ANPAHHCN_00887	K07491
ANPAHHCN_00888	-
ANPAHHCN_00889	-
ANPAHHCN_00891	K01119
ANPAHHCN_00892	-
ANPAHHCN_00893	K02044
ANPAHHCN_00894	K02041
ANPAHHCN_00895	K02042
ANPAHHCN_00896	K02042
ANPAHHCN_00897	K01839
ANPAHHCN_00898	K01619
ANPAHHCN_00899	K08168
ANPAHHCN_00900	K03784
ANPAHHCN_00901	-
ANPAHHCN_00902	-
ANPAHHCN_00903	K04564
ANPAHHCN_00904	K03328
ANPAHHCN_00905	-
ANPAHHCN_00906	-
ANPAHHCN_00907	-
ANPAHHCN_00908	K01784
ANPAHHCN_00909	K03366
ANPAHHCN_00912	-
ANPAHHCN_00913	K01586
ANPAHHCN_00914	K02510
ANPAHHCN_00915	-
ANPAHHCN_00916	-
ANPAHHCN_00917	K08161
ANPAHHCN_00918	-
ANPAHHCN_00919	K21721
ANPAHHCN_00920	K21949
ANPAHHCN_00921	K02016
ANPAHHCN_00922	K02015
ANPAHHCN_00923	K02015
ANPAHHCN_00924	-
ANPAHHCN_00925	K14196
ANPAHHCN_00926	K03303
ANPAHHCN_00927	-
ANPAHHCN_00928	K18907
ANPAHHCN_00929	K18907
ANPAHHCN_00930	-
ANPAHHCN_00931	K10254
ANPAHHCN_00932	K03324
ANPAHHCN_00933	K08170
ANPAHHCN_00934	-
ANPAHHCN_00935	-
ANPAHHCN_00936	-
ANPAHHCN_00937	-
ANPAHHCN_00938	-
ANPAHHCN_00939	K01771
ANPAHHCN_00941	-
ANPAHHCN_00942	-
ANPAHHCN_00943	-
ANPAHHCN_00944	-
ANPAHHCN_00945	-
ANPAHHCN_00946	-
ANPAHHCN_00947	-
ANPAHHCN_00948	-
ANPAHHCN_00949	-
ANPAHHCN_00950	K17218
ANPAHHCN_00951	K01069
ANPAHHCN_00952	-
ANPAHHCN_00953	-
ANPAHHCN_00954	K07090
ANPAHHCN_00955	-
ANPAHHCN_00956	-
ANPAHHCN_00957	K00783
ANPAHHCN_00958	K01081
ANPAHHCN_00959	K00784
ANPAHHCN_00960	-
ANPAHHCN_00961	-
ANPAHHCN_00962	K07652
ANPAHHCN_00963	K07668
ANPAHHCN_00966	K01939
ANPAHHCN_00967	K02314
ANPAHHCN_00968	K02939
ANPAHHCN_00969	-
ANPAHHCN_00970	-
ANPAHHCN_00971	K00641
ANPAHHCN_00972	-
ANPAHHCN_00973	-
ANPAHHCN_00974	K01875
ANPAHHCN_00975	K01745
ANPAHHCN_00976	K17758
ANPAHHCN_00977	K02469
ANPAHHCN_00978	K02470
ANPAHHCN_00979	K03629
ANPAHHCN_00980	K14761
ANPAHHCN_00981	K02338
